,Ensemble_member,Time_since_eruption,a_A,b_A,c_A,Travel_time_x,a_B,b_B,c_B,Travel_time_y
1245,1,60.05,0.0010909,0.447071,2.5812338,120.4166667,-0.0002993,0.5010536,1.0521212,120.4166667
2491,2,60.05,0.0011329,0.451345,2.7206454,118.4166667,-0.0002003,0.4874782,1.7898072,118.4166667
3737,3,60.05,0.0012108,0.4533082,2.9051778,117.4166667,-0.0001194,0.4768064,2.4455535,117.4166667
4983,4,60.05,0.0008872,0.5012795,1.8256762,115.4166667,-0.0001342,0.4801612,2.6387932,115.4166667
6229,5,60.05,0.0004874,0.5579472,0.5110355,114.4166667,-0.0001773,0.4881333,2.6667947,114.4166667
7475,6,60.05,0.000145,0.6052898,-0.4684295,113.4166667,-0.0001476,0.4855466,3.077677,113.4166667
8721,7,60.05,0.0001015,0.619945,-0.6001758,111.4166667,-0.0002002,0.4949955,3.0590538,111.4166667
9967,8,60.05,0.0001014,0.6356668,-0.923231,110.4166667,-0.0002512,0.5036926,3.1016638,110.4166667
11213,9,60.05,0.0004301,0.6122921,-0.1028545,108.4166667,-0.0003373,0.5180029,2.9432725,108.4166667
12459,10,60.05,0.0011763,0.5478528,1.6488111,107.4166667,-0.0003856,0.5278548,2.9093824,107.4166667
13705,11,60.05,0.0014645,0.5304676,2.2772315,106.4166667,-0.0004047,0.5332403,3.0186821,106.4166667
14951,12,60.05,0.0018454,0.5021618,3.1973654,105.4166667,-0.0004963,0.5476193,2.884926,105.4166667
16197,13,60.05,0.001604,0.540785,2.3793621,103.4166667,-0.0005333,0.5560041,2.9025273,103.4166667
17443,14,60.05,0.0017227,0.5393972,2.6439124,103.4166667,-0.0005875,0.5667245,2.840192,103.4166667
18689,15,60.05,0.0016837,0.5570321,2.3387497,102.4166667,-0.0006967,0.5837454,2.6026057,102.4166667
19935,16,60.05,0.0019123,0.5441637,2.8641172,101.4166667,-0.0007113,0.58943,2.6823953,101.4166667
21181,17,60.05,0.0019689,0.5521968,2.8024081,100.4166667,-0.0008224,0.6065462,2.443781,100.4166667
22427,18,60.05,0.002341,0.529042,3.4702261,99.4166667,-0.0008308,0.6117172,2.5179119,99.4166667
23673,19,60.05,0.0024858,0.5258776,3.733966,98.4166667,-0.0008738,0.6207145,2.4834746,98.4166667
24919,20,60.05,0.0024281,0.5423334,3.5269387,97.4166667,-0.0008946,0.6268203,2.5456217,97.4166667
26165,21,60.05,0.0030343,0.5037796,4.3855385,96.4166667,-0.0009591,0.638495,2.434372,96.4166667
