,Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y
0,1,39.3,1.0578923,120.4166667,2.1991889,120.4166667
1,1,39.3166667,1.0547086,120.4166667,2.1976784,120.4166667
2,1,39.3333333,1.051525,120.4166667,2.1961679,120.4166667
3,1,39.35,1.0483413,120.4166667,2.1946574,120.4166667
4,1,39.3666667,1.0451576,120.4166667,2.193147,120.4166667
5,1,39.3833333,1.041974,120.4166667,2.1916365,120.4166667
6,1,39.4,1.0387903,120.4166667,2.190126,120.4166667
7,1,39.4166667,1.0356066,120.4166667,2.1886156,120.4166667
8,1,39.4333333,1.0324229,120.4166667,2.1871051,120.4166667
9,1,39.45,1.0292393,120.4166667,2.1855946,120.4166667
10,1,39.4666667,1.0260556,120.4166667,2.1840841,120.4166667
11,1,39.4833333,1.0228719,120.4166667,2.1825737,120.4166667
12,1,39.5,1.0196883,120.4166667,2.1810632,120.4166667
13,1,39.5166667,1.0165046,120.4166667,2.1795527,120.4166667
14,1,39.5333333,1.0133209,120.4166667,2.1780422,120.4166667
15,1,39.55,1.0101372,120.4166667,2.1765318,120.4166667
16,1,39.5666667,1.0069536,120.4166667,2.1750213,120.4166667
17,1,39.5833333,1.0037699,120.4166667,2.1735108,120.4166667
18,1,39.6,1.0005862,120.4166667,2.1720004,120.4166667
19,1,39.6166667,0.9974026,120.4166667,2.1704899,120.4166667
20,1,39.6333333,0.9942189,120.4166667,2.1689794,120.4166667
21,1,39.65,0.9910352,120.4166667,2.1674689,120.4166667
22,1,39.6666667,0.9878516,120.4166667,2.1659585,120.4166667
23,1,39.6833333,0.9846679,120.4166667,2.164448,120.4166667
24,1,39.7,0.9814842,120.4166667,2.1629375,120.4166667
25,1,39.7166667,0.9783005,120.4166667,2.161427,120.4166667
26,1,39.7333333,0.9751169,120.4166667,2.1599166,120.4166667
27,1,39.75,0.9719332,120.4166667,2.1584061,120.4166667
28,1,39.7666667,0.9687495,120.4166667,2.1568956,120.4166667
29,1,39.7833333,0.9655659,120.4166667,2.1553852,120.4166667
30,1,39.8,0.9623822,120.4166667,2.1538747,120.4166667
31,1,39.8166667,0.9591985,120.4166667,2.1523642,120.4166667
32,1,39.8333333,0.9560148,120.4166667,2.1508537,120.4166667
33,1,39.85,0.9528312,120.4166667,2.1493433,120.4166667
34,1,39.8666667,0.9496475,120.4166667,2.1478328,120.4166667
35,1,39.8833333,0.9464638,120.4166667,2.1463223,120.4166667
36,1,39.9,0.9432802,120.4166667,2.1448119,120.4166667
37,1,39.9166667,0.9400965,120.4166667,2.1433014,120.4166667
38,1,39.9333333,0.9369128,120.4166667,2.1417909,120.4166667
39,1,39.95,0.9337291,120.4166667,2.1402804,120.4166667
40,1,39.9666667,0.9305455,120.4166667,2.13877,120.4166667
41,1,39.9833333,0.9273618,120.4166667,2.1372595,120.4166667
42,1,40.0,0.9241781,120.4166667,2.135749,120.4166667
43,1,40.0166667,0.9209945,120.4166667,2.1342385,120.4166667
44,1,40.0333333,0.9178108,120.4166667,2.1327281,120.4166667
45,1,40.05,0.9146271,120.4166667,2.1312176,120.4166667
46,1,40.0666667,0.9114435,120.4166667,2.1297071,120.4166667
47,1,40.0833333,0.9082598,120.4166667,2.1281967,120.4166667
48,1,40.1,0.9050761,120.4166667,2.1266862,120.4166667
49,1,40.1166667,0.9018924,120.4166667,2.1251757,120.4166667
50,1,40.1333333,0.8987088,120.4166667,2.1236652,120.4166667
51,1,40.15,0.8955251,120.4166667,2.1221548,120.4166667
52,1,40.1666667,0.8923414,120.4166667,2.1206443,120.4166667
53,1,40.1833333,0.8891578,120.4166667,2.1191338,120.4166667
54,1,40.2,0.8859741,120.4166667,2.1176234,120.4166667
55,1,40.2166667,0.8827904,120.4166667,2.1161129,120.4166667
56,1,40.2333333,0.8796067,120.4166667,2.1146024,120.4166667
57,1,40.25,0.8764231,120.4166667,2.1130919,120.4166667
58,1,40.2666667,0.8729073,120.4166667,2.1115533,120.4166667
59,1,40.2833333,0.8693916,120.4166667,2.1100146,120.4166667
60,1,40.3,0.8658758,120.4166667,2.1084759,120.4166667
61,1,40.3166667,0.8623601,120.4166667,2.1069373,120.4166667
62,1,40.3333333,0.8588443,120.4166667,2.1053986,120.4166667
63,1,40.35,0.8553286,120.4166667,2.1038599,120.4166667
64,1,40.3666667,0.8518128,120.4166667,2.1023213,120.4166667
65,1,40.3833333,0.8482971,120.4166667,2.1007826,120.4166667
66,1,40.4,0.8447813,120.4166667,2.0992439,120.4166667
67,1,40.4166667,0.8412656,120.4166667,2.0977053,120.4166667
68,1,40.4333333,0.8377498,120.4166667,2.0961666,120.4166667
69,1,40.45,0.8342341,120.4166667,2.0946279,120.4166667
70,1,40.4666667,0.8307183,120.4166667,2.0930893,120.4166667
71,1,40.4833333,0.8272026,120.4166667,2.0915506,120.4166667
72,1,40.5,0.8236868,120.4166667,2.0900119,120.4166667
73,1,40.5166667,0.8201711,120.4166667,2.0884733,120.4166667
74,1,40.5333333,0.8166553,120.4166667,2.0869346,120.4166667
75,1,40.55,0.8131396,120.4166667,2.0853959,120.4166667
76,1,40.5666667,0.8096238,120.4166667,2.0838572,120.4166667
77,1,40.5833333,0.8061081,120.4166667,2.0823186,120.4166667
78,1,40.6,0.8025923,120.4166667,2.0807799,120.4166667
79,1,40.6166667,0.7990766,120.4166667,2.0792412,120.4166667
80,1,40.6333333,0.7955608,120.4166667,2.0777026,120.4166667
81,1,40.65,0.7920451,120.4166667,2.0761639,120.4166667
82,1,40.6666667,0.7885293,120.4166667,2.0746252,120.4166667
83,1,40.6833333,0.7850136,120.4166667,2.0730866,120.4166667
84,1,40.7,0.7814978,120.4166667,2.0715479,120.4166667
85,1,40.7166667,0.7779821,120.4166667,2.0700092,120.4166667
86,1,40.7333333,0.7744663,120.4166667,2.0684706,120.4166667
87,1,40.75,0.7709505,120.4166667,2.0669319,120.4166667
88,1,40.7666667,0.7674348,120.4166667,2.0653932,120.4166667
89,1,40.7833333,0.763919,120.4166667,2.0638546,120.4166667
90,1,40.8,0.7604033,120.4166667,2.0623159,120.4166667
91,1,40.8166667,0.7568875,120.4166667,2.0607772,120.4166667
92,1,40.8333333,0.7533718,120.4166667,2.0592386,120.4166667
93,1,40.85,0.749856,120.4166667,2.0576999,120.4166667
94,1,40.8666667,0.7463403,120.4166667,2.0561612,120.4166667
95,1,40.8833333,0.7428245,120.4166667,2.0546226,120.4166667
96,1,40.9,0.7393088,120.4166667,2.0530839,120.4166667
97,1,40.9166667,0.735793,120.4166667,2.0515452,120.4166667
98,1,40.9333333,0.7322773,120.4166667,2.0500066,120.4166667
99,1,40.95,0.7287615,120.4166667,2.0484679,120.4166667
100,1,40.9666667,0.7252458,120.4166667,2.0469292,120.4166667
101,1,40.9833333,0.72173,120.4166667,2.0453906,120.4166667
102,1,41.0,0.7182143,120.4166667,2.0438519,120.4166667
103,1,41.0166667,0.7191805,120.4166667,2.0423132,120.4166667
104,1,41.0333333,0.7201466,120.4166667,2.0407745,120.4166667
105,1,41.05,0.7211128,120.4166667,2.0392359,120.4166667
106,1,41.0666667,0.7220789,120.4166667,2.0376972,120.4166667
107,1,41.0833333,0.7230451,120.4166667,2.0361585,120.4166667
108,1,41.1,0.7240113,120.4166667,2.0346199,120.4166667
109,1,41.1166667,0.7249774,120.4166667,2.0330812,120.4166667
110,1,41.1333333,0.7259436,120.4166667,2.0315425,120.4166667
111,1,41.15,0.7269098,120.4166667,2.0300039,120.4166667
112,1,41.1666667,0.7278759,120.4166667,2.0284652,120.4166667
113,1,41.1833333,0.7288421,120.4166667,2.0269265,120.4166667
114,1,41.2,0.7292632,120.4166667,2.0252406,120.4166667
115,1,41.2166667,0.7296842,120.4166667,2.0235547,120.4166667
116,1,41.2333333,0.7301053,120.4166667,2.0218688,120.4166667
117,1,41.25,0.7305263,120.4166667,2.0201829,120.4166667
118,1,41.2666667,0.7309474,120.4166667,2.018497,120.4166667
119,1,41.2833333,0.7313684,120.4166667,2.0168111,120.4166667
120,1,41.3,0.7317895,120.4166667,2.0151252,120.4166667
121,1,41.3166667,0.7322105,120.4166667,2.0134393,120.4166667
122,1,41.3333333,0.7326316,120.4166667,2.0117533,120.4166667
123,1,41.35,0.7330526,120.4166667,2.0100674,120.4166667
124,1,41.3666667,0.7334737,120.4166667,2.0083815,120.4166667
125,1,41.3833333,0.7338947,120.4166667,2.0066956,120.4166667
126,1,41.4,0.7343158,120.4166667,2.0050097,120.4166667
127,1,41.4166667,0.7347368,120.4166667,2.0033238,120.4166667
128,1,41.4333333,0.7351579,120.4166667,2.0016379,120.4166667
