Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y
1,54.0666667,-4.5420629,102.5833333,-2.5829233,102.5833333
2,54.0666667,-4.1920629,101.5833333,-2.1183161,101.5833333
3,54.0666667,-3.8120629,100.5833333,-1.9418412,100.5833333
4,54.0666667,-3.4120629,99.5833333,-1.7698439,99.5833333
5,54.0666667,-2.9720629,99.5833333,-1.4056813,99.5833333
6,54.0666667,-2.5920629,98.5833333,-1.5008109,98.5833333
7,54.0666667,-2.1720629,97.5833333,-1.071432,97.5833333
8,54.0666667,-1.7520629,97.5833333,-0.3294662,97.5833333
9,54.0666667,-1.3620629,96.5833333,-0.2548444,96.5833333
10,54.0666667,-0.9520629,95.5833333,0.0007846,95.5833333
11,54.0666667,-0.5420629,94.5833333,0.5794818,94.5833333
12,54.0666667,-0.1720629,94.5833333,0.3656919,94.5833333
13,54.0666667,0.2279371,93.5833333,0.8928255,93.5833333
14,54.0666667,0.5779371,93.5833333,1.0602938,93.5833333
15,54.0666667,0.9379371,92.5833333,0.7549549,92.5833333
16,54.0666667,1.2879371,91.5833333,1.7066868,91.5833333
17,54.0666667,1.6679371,91.5833333,1.7054359,91.5833333
18,54.0666667,1.9779371,90.5833333,2.2436143,90.5833333
19,54.0666667,2.3279371,90.5833333,2.0606502,90.5833333
20,54.0666667,2.6479371,89.5833333,2.2975499,89.5833333
21,54.0666667,3.0079371,89.5833333,2.601494,89.5833333
1,54.0833333,-4.5397443,102.5833333,-2.583285,102.5833333
2,54.0833333,-4.1893669,101.5833333,-2.1192601,101.5833333
3,54.0833333,-3.8089896,100.5833333,-1.9421642,100.5833333
4,54.0833333,-3.4089896,99.5833333,-1.7699172,99.5833333
5,54.0833333,-2.9689896,99.5833333,-1.4068973,99.5833333
6,54.0833333,-2.5888009,98.5833333,-1.500437,98.5833333
7,54.0833333,-2.1686122,97.5833333,-1.0726197,97.5833333
8,54.0833333,-1.7486122,97.5833333,-0.3330601,97.5833333
9,54.0833333,-1.3586122,96.5833333,-0.254572,96.5833333
10,54.0833333,-0.9486122,95.5833333,-0.0022459,95.5833333
11,54.0833333,-0.5386122,94.5833333,0.5789565,94.5833333
12,54.0833333,-0.1686122,94.5833333,0.3638553,94.5833333
13,54.0833333,0.2313878,93.5833333,0.8918358,93.5833333
14,54.0833333,0.5815765,93.5833333,1.0581332,93.5833333
15,54.0833333,0.9415765,92.5833333,0.7503953,92.5833333
16,54.0833333,1.2915765,91.5833333,1.7058952,91.5833333
17,54.0833333,1.6713878,91.5833333,1.7064542,91.5833333
18,54.0833333,1.9815765,90.5833333,2.2432861,90.5833333
19,54.0833333,2.3313878,90.5833333,2.0582708,90.5833333
20,54.0833333,2.6515765,89.5833333,2.2977413,89.5833333
21,54.0833333,3.0113878,89.5833333,2.5992862,89.5833333
1,54.1,-4.5374257,102.5833333,-2.5836467,102.5833333
2,54.1,-4.1866709,101.5833333,-2.1202042,101.5833333
3,54.1,-3.8059162,100.5833333,-1.9424873,100.5833333
4,54.1,-3.4059162,99.5833333,-1.7699906,99.5833333
5,54.1,-2.9659162,99.5833333,-1.4081132,99.5833333
6,54.1,-2.5855389,98.5833333,-1.500063,98.5833333
7,54.1,-2.1651615,97.5833333,-1.0738074,97.5833333
