,Ensemble_member,Time_since_eruption,a_A,b_A,c_A,Travel_time_x,a_B,b_B,c_B,Travel_time_y
2007,1,48.65,-0.0043415,1.0596761,2.996896,53.6666667,-0.0038021,1.0092772,3.3260065,53.6666667
4015,2,48.65,-0.0044935,1.0682416,3.1959215,52.6666667,-0.0039502,1.0237636,3.3639118,52.6666667
6023,3,48.65,-0.0048117,1.0899331,3.1455312,51.6666667,-0.0041068,1.0381983,3.4108391,51.6666667
8031,4,48.65,-0.0048465,1.0889759,3.5122125,51.6666667,-0.0042607,1.0523127,3.4550314,51.6666667
10039,5,48.65,-0.0051408,1.1093314,3.4640927,50.6666667,-0.0044212,1.0665522,3.4851789,50.6666667
12047,6,48.65,-0.0053257,1.1200677,3.6115469,50.6666667,-0.0045406,1.078148,3.5569862,50.6666667
14055,7,48.65,-0.0055344,1.1335909,3.6743624,49.6666667,-0.0047267,1.0935868,3.5756658,49.6666667
16063,8,48.65,-0.0057401,1.1466085,3.747993,48.6666667,-0.0049158,1.1093466,3.5758674,48.6666667
18071,9,48.65,-0.005884,1.1547244,3.9094678,48.6666667,-0.0050347,1.1205558,3.6357383,48.6666667
20079,10,48.65,-0.006115,1.1694322,3.9418494,47.6666667,-0.0052173,1.1357673,3.6436081,47.6666667
22087,11,48.65,-0.0063095,1.1819968,3.9932724,47.6666667,-0.0053507,1.146783,3.7129252,47.6666667
24095,12,48.65,-0.0064555,1.1908696,4.1177255,46.6666667,-0.0055167,1.1601156,3.7440087,46.6666667
26103,13,48.65,-0.0066252,1.2014579,4.1980529,46.6666667,-0.0056247,1.170222,3.8063279,46.6666667
28111,14,48.65,-0.0067715,1.2092725,4.3400201,45.6666667,-0.0057752,1.1822133,3.8600467,45.6666667
30119,15,48.65,-0.0069496,1.220319,4.4109424,45.6666667,-0.0059392,1.1950714,3.8897866,45.6666667
32127,16,48.65,-0.0071864,1.2362249,4.3849914,44.6666667,-0.0060729,1.2062752,3.9322236,44.6666667
34135,17,48.65,-0.0072529,1.2390143,4.5788138,44.6666667,-0.0062288,1.219198,3.9376678,44.6666667
36143,18,48.65,-0.0074874,1.2542977,4.5649774,43.6666667,-0.0063731,1.2310828,3.9716965,43.6666667
38151,19,48.65,-0.0076333,1.2625727,4.6648643,43.6666667,-0.0065001,1.2407977,4.0350529,43.6666667
40159,20,48.65,-0.0078154,1.2731275,4.7349568,43.6666667,-0.0067197,1.2572315,4.002532,43.6666667
42167,21,48.65,-0.0079807,1.2836955,4.7855174,42.6666667,-0.0068535,1.2678284,4.0398133,42.6666667
