,Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y
101,1,23.5166667,-3.2326348,73.25,-2.6859091,73.25
102,1,23.5333333,-3.2328834,73.25,-2.6872348,73.25
103,1,23.55,-3.233132,73.25,-2.6885606,73.25
104,1,23.5666667,-3.2333807,73.25,-2.6898864,73.25
105,1,23.5833333,-3.2336293,73.25,-2.6912121,73.25
106,1,23.6,-3.233878,73.25,-2.6925379,73.25
107,1,23.6166667,-3.2341266,73.25,-2.6938636,73.25
108,1,23.6333333,-3.2343752,73.25,-2.6951894,73.25
109,1,23.65,-3.2346239,73.25,-2.6965152,73.25
110,1,23.6666667,-3.2348725,73.25,-2.6978409,73.25
111,1,23.6833333,-3.2351211,73.25,-2.6991667,73.25
112,1,23.7,-3.2353698,73.25,-2.7004924,73.25
113,1,23.7166667,-3.2356184,73.25,-2.7018182,73.25
114,1,23.7333333,-3.235867,73.25,-2.7031439,73.25
115,1,23.75,-3.2361157,73.25,-2.7044697,73.25
116,1,23.7666667,-3.2363643,73.25,-2.7057955,73.25
117,1,23.7833333,-3.2366129,73.25,-2.7071212,73.25
118,1,23.8,-3.2368616,73.25,-2.708447,73.25
119,1,23.8166667,-3.2371102,73.25,-2.7097727,73.25
120,1,23.8333333,-3.2373588,73.25,-2.7110985,73.25
121,1,23.85,-3.2376075,73.25,-2.7124242,73.25
122,1,23.8666667,-3.2378561,73.25,-2.71375,73.25
123,1,23.8833333,-3.2381047,73.25,-2.7150758,73.25
124,1,23.9,-3.2383534,73.25,-2.7164015,73.25
125,1,23.9166667,-3.238602,73.25,-2.7177273,73.25
126,1,23.9333333,-3.2388506,73.25,-2.719053,73.25
127,1,23.95,-3.2390993,73.25,-2.7203788,73.25
128,1,23.9666667,-3.2393479,73.25,-2.7217045,73.25
129,1,23.9833333,-3.2395965,73.25,-2.7230303,73.25
130,1,24.0,-3.2398452,73.25,-2.7243561,73.25
131,1,24.0166667,-3.2400938,73.25,-2.7256818,73.25
132,1,24.0333333,-3.2403425,73.25,-2.7270076,73.25
133,1,24.05,-3.2405911,73.25,-2.7283333,73.25
134,1,24.0666667,-3.2408852,73.25,-2.7300833,73.25
135,1,24.0833333,-3.2411793,73.25,-2.7318333,73.25
136,1,24.1,-3.2414734,73.25,-2.7335833,73.25
137,1,24.1166667,-3.2417674,73.25,-2.7353333,73.25
138,1,24.1333333,-3.2420615,73.25,-2.7370833,73.25
139,1,24.15,-3.2423556,73.25,-2.7388333,73.25
140,1,24.1666667,-3.2426497,73.25,-2.7405833,73.25
141,1,24.1833333,-3.2429438,73.25,-2.7423333,73.25
142,1,24.2,-3.2432379,73.25,-2.7440833,73.25
143,1,24.2166667,-3.243532,73.25,-2.7458333,73.25
144,1,24.2333333,-3.2438261,73.25,-2.7475833,73.25
145,1,24.25,-3.2441202,73.25,-2.7493333,73.25
146,1,24.2666667,-3.2444142,73.25,-2.7510833,73.25
147,1,24.2833333,-3.2447083,73.25,-2.7528333,73.25
148,1,24.3,-3.2450024,73.25,-2.7545833,73.25
149,1,24.3166667,-3.2452965,73.25,-2.7563333,73.25
150,1,24.3333333,-3.2455906,73.25,-2.7580833,73.25
151,1,24.35,-3.2458847,73.25,-2.7598333,73.25
152,1,24.3666667,-3.2461788,73.25,-2.7615833,73.25
153,1,24.3833333,-3.2464729,73.25,-2.7633333,73.25
154,1,24.4,-3.246767,73.25,-2.7650833,73.25
155,1,24.4166667,-3.247061,73.25,-2.7668333,73.25
156,1,24.4333333,-3.2473551,73.25,-2.7685833,73.25
157,1,24.45,-3.2476492,73.25,-2.7703333,73.25
158,1,24.4666667,-3.2479433,73.25,-2.7720833,73.25
159,1,24.4833333,-3.2482374,73.25,-2.7738333,73.25
160,1,24.5,-3.2485315,73.25,-2.7755833,73.25
161,1,24.5166667,-3.2488256,73.25,-2.7773333,73.25
162,1,24.5333333,-3.2491197,73.25,-2.7790833,73.25
163,1,24.55,-3.2494138,73.25,-2.7808333,73.25
164,1,24.5666667,-3.2497078,73.25,-2.7825833,73.25
165,1,24.5833333,-3.2500019,73.25,-2.7843333,73.25
166,1,24.6,-3.250296,73.25,-2.7860833,73.25
167,1,24.6166667,-3.2505901,73.25,-2.7878333,73.25
168,1,24.6333333,-3.2508842,73.25,-2.7895833,73.25
169,1,24.65,-3.2511783,73.25,-2.7913333,73.25
170,1,24.6666667,-3.2514724,73.25,-2.7930833,73.25
171,1,24.6833333,-3.2517665,73.25,-2.7948333,73.25
172,1,24.7,-3.2520606,73.25,-2.7965833,73.25
173,1,24.7166667,-3.2523547,73.25,-2.7983333,73.25
174,1,24.7333333,-3.2526487,73.25,-2.8000833,73.25
175,1,24.75,-3.2529428,73.25,-2.8018333,73.25
176,1,24.7666667,-3.2532369,73.25,-2.8035833,73.25
177,1,24.7833333,-3.253531,73.25,-2.8053333,73.25
178,1,24.8,-3.2538251,73.25,-2.8070833,73.25
179,1,24.8166667,-3.2540737,73.25,-2.8086364,73.25
180,1,24.8333333,-3.2543224,73.25,-2.8101894,73.25
181,1,24.85,-3.254571,73.25,-2.8117424,73.25
182,1,24.8666667,-3.2548196,73.25,-2.8132955,73.25
183,1,24.8833333,-3.2550683,73.25,-2.8148485,73.25
184,1,24.9,-3.2553169,73.25,-2.8164015,73.25
185,1,24.9166667,-3.2555655,73.25,-2.8179545,73.25
186,1,24.9333333,-3.2558142,73.25,-2.8195076,73.25
187,1,24.95,-3.2560628,73.25,-2.8210606,73.25
188,1,24.9666667,-3.2563114,73.25,-2.8226136,73.25
189,1,24.9833333,-3.2565601,73.25,-2.8241667,73.25
190,1,25.0,-3.2568087,73.25,-2.8257197,73.25
191,1,25.0166667,-3.2570573,73.25,-2.8272727,73.25
192,1,25.0333333,-3.257306,73.25,-2.8288258,73.25
193,1,25.05,-3.2575546,73.25,-2.8303788,73.25
194,1,25.0666667,-3.2578033,73.25,-2.8319318,73.25
195,1,25.0833333,-3.2580519,73.25,-2.8334848,73.25
196,1,25.1,-3.2583005,73.25,-2.8350379,73.25
197,1,25.1166667,-3.2585492,73.25,-2.8365909,73.25
198,1,25.1333333,-3.2587978,73.25,-2.8381439,73.25
199,1,25.15,-3.2590464,73.25,-2.839697,73.25
200,1,25.1666667,-3.2592951,73.25,-2.84125,73.25
201,1,25.1833333,-3.2595437,73.25,-2.842803,73.25
202,1,25.2,-3.2597923,73.25,-2.8443561,73.25
203,1,25.2166667,-3.260041,73.25,-2.8459091,73.25
204,1,25.2333333,-3.2602896,73.25,-2.8474621,73.25
205,1,25.25,-3.2605382,73.25,-2.8490152,73.25
206,1,25.2666667,-3.2607869,73.25,-2.8505682,73.25
207,1,25.2833333,-3.2610355,73.25,-2.852001,73.25
208,1,25.3,-3.2612841,73.25,-2.8534339,73.25
209,1,25.3166667,-3.2615328,73.25,-2.8548667,73.25
210,1,25.3333333,-3.2617814,73.25,-2.8562995,73.25
211,1,25.35,-3.26203,73.25,-2.8577324,73.25
212,1,25.3666667,-3.2622787,73.25,-2.8591652,73.25
213,1,25.3833333,-3.2625273,73.25,-2.860598,73.25
214,1,25.4,-3.2627759,73.25,-2.8620309,73.25
215,1,25.4166667,-3.2630246,73.25,-2.8634637,73.25
216,1,25.4333333,-3.2632732,73.25,-2.8648966,73.25
217,1,25.45,-3.2635218,73.25,-2.8663294,73.25
218,1,25.4666667,-3.2637705,73.25,-2.8677622,73.25
219,1,25.4833333,-3.2640191,73.25,-2.8691951,73.25
220,1,25.5,-3.2642678,73.25,-2.8706279,73.25
221,1,25.5166667,-3.2645164,73.25,-2.8720608,73.25
222,1,25.5333333,-3.264765,73.25,-2.8734936,73.25
223,1,25.55,-3.2647864,73.25,-2.8746992,73.25
224,1,25.5666667,-3.2648077,73.25,-2.8759047,73.25
225,1,25.5833333,-3.2648291,73.25,-2.8771103,73.25
226,1,25.6,-3.2648505,73.25,-2.8783159,73.25
227,1,25.6166667,-3.2648718,73.25,-2.8795214,73.25
228,1,25.6333333,-3.2648932,73.25,-2.880727,73.25
229,1,25.65,-3.2649146,73.25,-2.8819325,73.25
230,1,25.6666667,-3.2649359,73.25,-2.8831381,73.25
231,1,25.6833333,-3.2649573,73.25,-2.8843437,73.25
232,1,25.7,-3.2649786,73.25,-2.8855492,73.25
233,1,25.7166667,-3.265,73.25,-2.8867548,73.25
234,1,25.7333333,-3.2650214,73.25,-2.8879604,73.25
235,1,25.75,-3.2650427,73.25,-2.8891659,73.25
236,1,25.7666667,-3.2650641,73.25,-2.8903715,73.25
237,1,25.7833333,-3.2650854,73.25,-2.8915771,73.25
238,1,25.8,-3.2651068,73.25,-2.8927826,73.25
239,1,25.8166667,-3.2651282,73.25,-2.8939882,73.25
240,1,25.8333333,-3.2651495,73.25,-2.8951938,73.25
241,1,25.85,-3.2651709,73.25,-2.8963993,73.25
242,1,25.8666667,-3.2651923,73.25,-2.8976049,73.25
243,1,25.8833333,-3.2652136,73.25,-2.8988105,73.25
244,1,25.9,-3.265235,73.25,-2.900016,73.25
245,1,25.9166667,-3.2652563,73.25,-2.9012216,73.25
246,1,25.9333333,-3.2652777,73.25,-2.9024272,73.25
247,1,25.95,-3.2652991,73.25,-2.9036327,73.25
248,1,25.9666667,-3.2653204,73.25,-2.9048383,73.25
249,1,25.9833333,-3.2653418,73.25,-2.9060439,73.25
250,1,26.0,-3.2653632,73.25,-2.9072494,73.25
251,1,26.0166667,-3.2653845,73.25,-2.908455,73.25
252,1,26.0333333,-3.2654059,73.25,-2.9096605,73.25
253,1,26.05,-3.2654272,73.25,-2.9108661,73.25
254,1,26.0666667,-3.2654486,73.25,-2.9120717,73.25
255,1,26.0833333,-3.26547,73.25,-2.9132772,73.25
256,1,26.1,-3.2654913,73.25,-2.9144828,73.25
257,1,26.1166667,-3.2655127,73.25,-2.9156884,73.25
258,1,26.1333333,-3.265534,73.25,-2.9168939,73.25
259,1,26.15,-3.2655554,73.25,-2.9180995,73.25
260,1,26.1666667,-3.2655768,73.25,-2.9193051,73.25
261,1,26.1833333,-3.2655981,73.25,-2.9205106,73.25
262,1,26.2,-3.2656195,73.25,-2.9217162,73.25
263,1,26.2166667,-3.2656409,73.25,-2.9229218,73.25
264,1,26.2333333,-3.2656622,73.25,-2.9241273,73.25
265,1,26.25,-3.2656836,73.25,-2.9253329,73.25
266,1,26.2666667,-3.2657049,73.25,-2.9265385,73.25
267,1,26.2833333,-3.2662213,73.25,-2.927946,73.25
268,1,26.3,-3.2667376,73.25,-2.9293536,73.25
269,1,26.3166667,-3.2672539,73.25,-2.9307612,73.25
270,1,26.3333333,-3.2677702,73.25,-2.9321688,73.25
271,1,26.35,-3.2682865,73.25,-2.9335764,73.25
272,1,26.3666667,-3.2688028,73.25,-2.934984,73.25
273,1,26.3833333,-3.2693191,73.25,-2.9363916,73.25
274,1,26.4,-3.2698354,73.25,-2.9377991,73.25
275,1,26.4166667,-3.2703517,73.25,-2.9392067,73.25
276,1,26.4333333,-3.2708681,73.25,-2.9406143,73.25
277,1,26.45,-3.2713844,73.25,-2.9420219,73.25
278,1,26.4666667,-3.2719007,73.25,-2.9434295,73.25
279,1,26.4833333,-3.272417,73.25,-2.9448371,73.25
280,1,26.5,-3.2729333,73.25,-2.9462447,73.25
281,1,26.5166667,-3.2734496,73.25,-2.9476522,73.25
282,1,26.5333333,-3.2739659,73.25,-2.9490598,73.25
283,1,26.55,-3.2744822,73.25,-2.9504674,73.25
284,1,26.5666667,-3.2749985,73.25,-2.951875,73.25
285,1,26.5833333,-3.2755149,73.25,-2.9532826,73.25
286,1,26.6,-3.2760312,73.25,-2.9546902,73.25
287,1,26.6166667,-3.2765475,73.25,-2.9560978,73.25
288,1,26.6333333,-3.2770638,73.25,-2.9575053,73.25
289,1,26.65,-3.2775801,73.25,-2.9589129,73.25
290,1,26.6666667,-3.2780964,73.25,-2.9603205,73.25
291,1,26.6833333,-3.2786127,73.25,-2.9617281,73.25
292,1,26.7,-3.279129,73.25,-2.9631357,73.25
293,1,26.7166667,-3.2796453,73.25,-2.9645433,73.25
294,1,26.7333333,-3.2801617,73.25,-2.9659509,73.25
295,1,26.75,-3.280678,73.25,-2.9673584,73.25
296,1,26.7666667,-3.2811943,73.25,-2.968766,73.25
297,1,26.7833333,-3.2817106,73.25,-2.9701736,73.25
298,1,26.8,-3.2822269,73.25,-2.9715812,73.25
299,1,26.8166667,-3.2827432,73.25,-2.9729888,73.25
300,1,26.8333333,-3.2832595,73.25,-2.9743964,73.25
301,1,26.85,-3.2837758,73.25,-2.975804,73.25
302,1,26.8666667,-3.2842922,73.25,-2.9772115,73.25
303,1,26.8833333,-3.2848085,73.25,-2.9786191,73.25
304,1,26.9,-3.2853248,73.25,-2.9800267,73.25
305,1,26.9166667,-3.2858411,73.25,-2.9814343,73.25
306,1,26.9333333,-3.2863574,73.25,-2.9828419,73.25
307,1,26.95,-3.2868737,73.25,-2.9842495,73.25
308,1,26.9666667,-3.28739,73.25,-2.9856571,73.25
309,1,26.9833333,-3.2879063,73.25,-2.9870646,73.25
310,1,27.0,-3.2884226,73.25,-2.9884722,73.25
311,1,27.0166667,-3.288939,73.25,-2.9898798,73.25
312,1,27.0333333,-3.2889603,73.25,-2.9910854,73.25
