,Ensemble_member,Time_since_eruption,a_A,b_A,c_A,Travel_time_x,a_B,b_B,c_B,Travel_time_y
1731,1,50.6833333,7.84e-05,0.7201845,6.4067387,73.25,-0.0020087,0.6709149,1.1716089,73.25
3463,2,50.6833333,0.0001618,0.7187848,6.673948,72.25,-0.0020726,0.680218,1.1535225,72.25
5195,3,50.6833333,6.67e-05,0.7308145,6.7096569,71.25,-0.0020721,0.6813041,1.3687056,71.25
6927,4,50.6833333,1.12e-05,0.7380956,6.860002,70.25,-0.0021292,0.6890968,1.3935995,70.25
8659,5,50.6833333,-0.0003412,0.7669556,6.6371085,70.25,-0.0021594,0.693675,1.496698,70.25
10391,6,50.6833333,-0.0004211,0.7757925,6.7514565,69.25,-0.0022384,0.7036358,1.4501594,69.25
12123,7,50.6833333,-0.0008065,0.8063796,6.5027197,68.25,-0.0022071,0.7013599,1.7195188,68.25
13855,8,50.6833333,-0.0010823,0.8280477,6.405753,67.25,-0.0022621,0.708094,1.7726143,67.25
15587,9,50.6833333,-0.0013939,0.8534354,6.2230922,66.25,-0.0023113,0.7140604,1.834038,66.25
17319,10,50.6833333,-0.0015235,0.8659366,6.2506353,66.25,-0.0022608,0.7107468,2.0947219,66.25
19051,11,50.6833333,-0.0016034,0.8729262,6.4235526,65.25,-0.0023727,0.7225112,2.0215095,65.25
20783,12,50.6833333,-0.0018621,0.8956089,6.2663603,64.25,-0.0023767,0.7244292,2.1454964,64.25
22515,13,50.6833333,-0.0019691,0.9070328,6.3041105,64.25,-0.0023429,0.7224326,2.3791247,64.25
24247,14,50.6833333,-0.002118,0.9217618,6.2712817,63.25,-0.0024082,0.7297772,2.3901864,63.25
25979,15,50.6833333,-0.0023621,0.9438889,6.1052,62.25,-0.0024862,0.7378639,2.4033664,62.25
27711,16,50.6833333,-0.0024987,0.9557023,6.1772675,62.25,-0.0023905,0.7304305,2.7042393,62.25
29443,17,50.6833333,-0.0028021,0.9806733,6.0082504,61.25,-0.0024636,0.7381168,2.7137207,61.25
31175,18,50.6833333,-0.0026656,0.9767058,6.2128026,60.25,-0.0024667,0.740003,2.8147038,60.25
32907,19,50.6833333,-0.0031367,1.0125601,5.9089617,60.25,-0.0025011,0.7450951,2.8398776,60.25
34639,20,50.6833333,-0.0030483,1.011324,6.087431,59.25,-0.0024498,0.7408934,3.1053165,59.25
36371,21,50.6833333,-0.0034061,1.0398733,5.8575995,59.25,-0.0025351,0.7497326,3.0792026,59.25
