,Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_raw,EA_diff_B,Travel_time_y
75,1,35.95,-4.1802442,91.3333333,,-3.943014,91.3333333
76,1,35.9666667,-4.1782898,91.3333333,,-3.9417129,91.3333333
77,1,35.9833333,-4.176828,91.3333333,,-3.9408976,91.3333333
78,1,36.0,-4.1753661,91.3333333,,-3.9400823,91.3333333
79,1,36.0166667,-4.1739043,91.3333333,,-3.939267,91.3333333
80,1,36.0333333,-4.1724425,91.3333333,,-3.9384517,91.3333333
81,1,36.05,-4.1709807,91.3333333,,-3.9376364,91.3333333
82,1,36.0666667,-4.1695188,91.3333333,,-3.9368211,91.3333333
83,1,36.0833333,-4.168057,91.3333333,,-3.9360058,91.3333333
84,1,36.1,-4.1665952,91.3333333,,-3.9351905,91.3333333
85,1,36.1166667,-4.1651334,91.3333333,,-3.9343752,91.3333333
86,1,36.1333333,-4.1636715,91.3333333,,-3.9335599,91.3333333
87,1,36.15,-4.1622097,91.3333333,,-3.9327446,91.3333333
88,1,36.1666667,-4.1607479,91.3333333,,-3.9319293,91.3333333
89,1,36.1833333,-4.1592861,91.3333333,,-3.931114,91.3333333
90,1,36.2,-4.1578242,91.3333333,,-3.9302987,91.3333333
91,1,36.2166667,-4.1563624,91.3333333,,-3.9294834,91.3333333
92,1,36.2333333,-4.1549006,91.3333333,,-3.9286681,91.3333333
93,1,36.25,-4.1534387,91.3333333,,-3.9278528,91.3333333
94,1,36.2666667,-4.1519769,91.3333333,,-3.9270375,91.3333333
95,1,36.2833333,-4.1505151,91.3333333,,-3.9262222,91.3333333
96,1,36.3,-4.1490533,91.3333333,,-3.9254069,91.3333333
97,1,36.3166667,-4.1475914,91.3333333,,-3.9245916,91.3333333
98,1,36.3333333,-4.1461296,91.3333333,,-3.9237763,91.3333333
99,1,36.35,-4.1446678,91.3333333,,-3.922961,91.3333333
100,1,36.3666667,-4.143206,91.3333333,,-3.9221457,91.3333333
101,1,36.3833333,-4.1417441,91.3333333,,-3.9213304,91.3333333
102,1,36.4,-4.1402823,91.3333333,,-3.9205151,91.3333333
103,1,36.4166667,-4.1388205,91.3333333,,-3.9196998,91.3333333
104,1,36.4333333,-4.1373587,91.3333333,,-3.9188844,91.3333333
105,1,36.45,-4.1358968,91.3333333,,-3.9180691,91.3333333
106,1,36.4666667,-4.134435,91.3333333,,-3.9172538,91.3333333
107,1,36.4833333,-4.1329732,91.3333333,,-3.9164385,91.3333333
108,1,36.5,-4.1315114,91.3333333,,-3.9156232,91.3333333
109,1,36.5166667,-4.1300495,91.3333333,,-3.9148079,91.3333333
110,1,36.5333333,-4.1285877,91.3333333,,-3.9139926,91.3333333
111,1,36.55,-4.1271259,91.3333333,,-3.9131773,91.3333333
112,1,36.5666667,-4.1256641,91.3333333,,-3.912362,91.3333333
113,1,36.5833333,-4.1242022,91.3333333,,-3.9115467,91.3333333
114,1,36.6,-4.1227404,91.3333333,,-3.9107314,91.3333333
115,1,36.6166667,-4.1212786,91.3333333,,-3.9099161,91.3333333
116,1,36.6333333,-4.1193242,91.3333333,,-3.908615,91.3333333
117,1,36.65,-4.1173698,91.3333333,,-3.9073139,91.3333333
118,1,36.6666667,-4.1154154,91.3333333,,-3.9060127,91.3333333
119,1,36.6833333,-4.113461,91.3333333,,-3.9047116,91.3333333
120,1,36.7,-4.1115066,91.3333333,,-3.9034105,91.3333333
121,1,36.7166667,-4.1095521,91.3333333,,-3.9021093,91.3333333
122,1,36.7333333,-4.1075977,91.3333333,,-3.9008082,91.3333333
123,1,36.75,-4.1056433,91.3333333,,-3.8995071,91.3333333
124,1,36.7666667,-4.1036889,91.3333333,,-3.8982059,91.3333333
125,1,36.7833333,-4.1017345,91.3333333,,-3.8969048,91.3333333
126,1,36.8,-4.0997801,91.3333333,,-3.8956037,91.3333333
127,1,36.8166667,-4.0978257,91.3333333,,-3.8943025,91.3333333
128,1,36.8333333,-4.0958713,91.3333333,,-3.8930014,91.3333333
129,1,36.85,-4.0939169,91.3333333,,-3.8917003,91.3333333
130,1,36.8666667,-4.0919625,91.3333333,,-3.8903992,91.3333333
131,1,36.8833333,-4.0900081,91.3333333,,-3.889098,91.3333333
132,1,36.9,-4.0880537,91.3333333,,-3.8877969,91.3333333
133,1,36.9166667,-4.0860993,91.3333333,,-3.8864958,91.3333333
134,1,36.9333333,-4.0841449,91.3333333,,-3.8851946,91.3333333
135,1,36.95,-4.0821905,91.3333333,,-3.8838935,91.3333333
136,1,36.9666667,-4.0802361,91.3333333,,-3.8825924,91.3333333
137,1,36.9833333,-4.0782817,91.3333333,,-3.8812912,91.3333333
138,1,37.0,-4.0763273,91.3333333,,-3.8799901,91.3333333
139,1,37.0166667,-4.0743729,91.3333333,,-3.878689,91.3333333
140,1,37.0333333,-4.0724185,91.3333333,,-3.8773878,91.3333333
141,1,37.05,-4.0704641,91.3333333,,-3.8760867,91.3333333
142,1,37.0666667,-4.0685097,91.3333333,,-3.8747856,91.3333333
143,1,37.0833333,-4.0665553,91.3333333,,-3.8734844,91.3333333
144,1,37.1,-4.0646009,91.3333333,,-3.8721833,91.3333333
145,1,37.1166667,-4.0626465,91.3333333,,-3.8708822,91.3333333
146,1,37.1333333,-4.0606921,91.3333333,,-3.869581,91.3333333
147,1,37.15,-4.0587376,91.3333333,,-3.8682799,91.3333333
148,1,37.1666667,-4.0567832,91.3333333,,-3.8669788,91.3333333
149,1,37.1833333,-4.0548288,91.3333333,,-3.8656776,91.3333333
150,1,37.2,-4.0528744,91.3333333,,-3.8643765,91.3333333
151,1,37.2166667,-4.05092,91.3333333,,-3.8630754,91.3333333
152,1,37.2333333,-4.0489656,91.3333333,,-3.8617743,91.3333333
153,1,37.25,-4.0470112,91.3333333,,-3.8604731,91.3333333
154,1,37.2666667,-4.0450568,91.3333333,,-3.8596983,91.3333333
155,1,37.2833333,-4.0431024,91.3333333,,-3.8589235,91.3333333
156,1,37.3,-4.041148,91.3333333,,-3.8581487,91.3333333
157,1,37.3166667,-4.0391936,91.3333333,,-3.8573739,91.3333333
158,1,37.3333333,-4.0372392,91.3333333,,-3.856599,91.3333333
159,1,37.35,-4.0352848,91.3333333,,-3.8558242,91.3333333
160,1,37.3666667,-4.0333304,91.3333333,,-3.8550494,91.3333333
161,1,37.3833333,-4.031376,91.3333333,,-3.8542746,91.3333333
162,1,37.4,-4.0294216,91.3333333,,-3.8534998,91.3333333
163,1,37.4166667,-4.0274672,91.3333333,,-3.852725,91.3333333
164,1,37.4333333,-4.0255128,91.3333333,,-3.8519501,91.3333333
165,1,37.45,-4.0235584,91.3333333,,-3.8511753,91.3333333
166,1,37.4666667,-4.021604,91.3333333,,-3.8504005,91.3333333
167,1,37.4833333,-4.0196496,91.3333333,,-3.8496257,91.3333333
168,1,37.5,-4.0176952,91.3333333,,-3.8488509,91.3333333
169,1,37.5166667,-4.0157408,91.3333333,,-3.8480761,91.3333333
170,1,37.5333333,-4.0137864,91.3333333,,-3.8473012,91.3333333
171,1,37.55,-4.011832,91.3333333,,-3.8465264,91.3333333
172,1,37.5666667,-4.0098776,91.3333333,,-3.8457516,91.3333333
173,1,37.5833333,-4.0079231,91.3333333,,-3.8449768,91.3333333
174,1,37.6,-4.0059687,91.3333333,,-3.844202,91.3333333
175,1,37.6166667,-4.0040143,91.3333333,,-3.8434272,91.3333333
176,1,37.6333333,-4.0020599,91.3333333,,-3.8426523,91.3333333
177,1,37.65,-4.0001055,91.3333333,,-3.8418775,91.3333333
178,1,37.6666667,-3.9981511,91.3333333,,-3.8411027,91.3333333
179,1,37.6833333,-3.9961967,91.3333333,,-3.8403279,91.3333333
180,1,37.7,-3.9942423,91.3333333,,-3.8395531,91.3333333
181,1,37.7166667,-3.9922879,91.3333333,,-3.8387783,91.3333333
182,1,37.7333333,-3.9903335,91.3333333,,-3.8380035,91.3333333
183,1,37.75,-3.9883791,91.3333333,,-3.8372286,91.3333333
184,1,37.7666667,-3.9864247,91.3333333,,-3.8364538,91.3333333
185,1,37.7833333,-3.9844703,91.3333333,,-3.835679,91.3333333
186,1,37.8,-3.9825159,91.3333333,,-3.8349042,91.3333333
187,1,37.8166667,-3.9805615,91.3333333,,-3.8341294,91.3333333
188,1,37.8333333,-3.9786071,91.3333333,,-3.8333546,91.3333333
189,1,37.85,-3.9766527,91.3333333,,-3.8325797,91.3333333
190,1,37.8666667,-3.9746983,91.3333333,,-3.8318049,91.3333333
191,1,37.8833333,-3.9727439,91.3333333,,-3.8310301,91.3333333
192,1,37.9,-3.9712821,91.3333333,,-3.8302148,91.3333333
193,1,37.9166667,-3.9699772,91.3333333,,-3.8293995,91.3333333
194,1,37.9333333,-3.9686724,91.3333333,,-3.8285842,91.3333333
195,1,37.95,-3.9673676,91.3333333,,-3.8277689,91.3333333
196,1,37.9666667,-3.9660628,91.3333333,,-3.8269536,91.3333333
197,1,37.9833333,-3.9647579,91.3333333,,-3.8261383,91.3333333
198,1,38.0,-3.9634531,91.3333333,,-3.825323,91.3333333
199,1,38.0166667,-3.9621483,91.3333333,,-3.8245077,91.3333333
200,1,38.0333333,-3.9608435,91.3333333,,-3.8236924,91.3333333
201,1,38.05,-3.9595387,91.3333333,,-3.8228771,91.3333333
202,1,38.0666667,-3.9582338,91.3333333,,-3.8220618,91.3333333
203,1,38.0833333,-3.956929,91.3333333,,-3.8212465,91.3333333
204,1,38.1,-3.9556242,91.3333333,,-3.8204312,91.3333333
205,1,38.1166667,-3.9543194,91.3333333,,-3.8196159,91.3333333
206,1,38.1333333,-3.9530146,91.3333333,,-3.8188006,91.3333333
207,1,38.15,-3.9517097,91.3333333,,-3.8179853,91.3333333
208,1,38.1666667,-3.9504049,91.3333333,,-3.81717,91.3333333
209,1,38.1833333,-3.9491001,91.3333333,,-3.8163547,91.3333333
210,1,38.2,-3.9477953,91.3333333,,-3.8155394,91.3333333
211,1,38.2166667,-3.9464904,91.3333333,,-3.8147241,91.3333333
212,1,38.2333333,-3.9451856,91.3333333,,-3.8139088,91.3333333
213,1,38.25,-3.9438808,91.3333333,,-3.8130935,91.3333333
214,1,38.2666667,-3.942576,91.3333333,,-3.8122782,91.3333333
215,1,38.2833333,-3.9412712,91.3333333,,-3.8114629,91.3333333
216,1,38.3,-3.9399663,91.3333333,,-3.8106476,91.3333333
217,1,38.3166667,-3.9386615,91.3333333,,-3.8098323,91.3333333
218,1,38.3333333,-3.9373567,91.3333333,,-3.809017,91.3333333
219,1,38.35,-3.9360519,91.3333333,,-3.8082017,91.3333333
220,1,38.3666667,-3.9347471,91.3333333,,-3.8073864,91.3333333
221,1,38.3833333,-3.9334422,91.3333333,,-3.8065711,91.3333333
222,1,38.4,-3.9321374,91.3333333,,-3.8057557,91.3333333
223,1,38.4166667,-3.9308326,91.3333333,,-3.8049404,91.3333333
224,1,38.4333333,-3.9295278,91.3333333,,-3.8041251,91.3333333
225,1,38.45,-3.9282229,91.3333333,,-3.8033098,91.3333333
226,1,38.4666667,-3.9269181,91.3333333,,-3.8024945,91.3333333
227,1,38.4833333,-3.9256133,91.3333333,,-3.8016792,91.3333333
228,1,38.5,-3.9243085,91.3333333,,-3.8008639,91.3333333
229,1,38.5166667,-3.9230037,91.3333333,,-3.8000486,91.3333333
230,1,38.5333333,-3.9216988,91.3333333,,-3.7992333,91.3333333
231,1,38.55,-3.9199014,91.3333333,,-3.7987217,91.3333333
232,1,38.5666667,-3.918104,91.3333333,,-3.79821,91.3333333
233,1,38.5833333,-3.9163066,91.3333333,,-3.7976984,91.3333333
234,1,38.6,-3.9145092,91.3333333,,-3.7971867,91.3333333
235,1,38.6166667,-3.9127118,91.3333333,,-3.796675,91.3333333
236,1,38.6333333,-3.9109144,91.3333333,,-3.7961634,91.3333333
237,1,38.65,-3.909117,91.3333333,,-3.7956517,91.3333333
238,1,38.6666667,-3.9073197,91.3333333,,-3.7951401,91.3333333
239,1,38.6833333,-3.9055223,91.3333333,,-3.7946284,91.3333333
240,1,38.7,-3.9037249,91.3333333,,-3.7941168,91.3333333
241,1,38.7166667,-3.9019275,91.3333333,,-3.7936051,91.3333333
242,1,38.7333333,-3.9001301,91.3333333,,-3.7930934,91.3333333
243,1,38.75,-3.8983327,91.3333333,,-3.7925818,91.3333333
244,1,38.7666667,-3.8965353,91.3333333,,-3.7920701,91.3333333
245,1,38.7833333,-3.8947379,91.3333333,,-3.7915585,91.3333333
246,1,38.8,-3.8929405,91.3333333,,-3.7910468,91.3333333
247,1,38.8166667,-3.8911431,91.3333333,,-3.7905351,91.3333333
248,1,38.8333333,-3.8893457,91.3333333,,-3.7900235,91.3333333
249,1,38.85,-3.8875483,91.3333333,,-3.7895118,91.3333333
250,1,38.8666667,-3.8857509,91.3333333,,-3.7890002,91.3333333
251,1,38.8833333,-3.8839535,91.3333333,,-3.7884885,91.3333333
252,1,38.9,-3.8821561,91.3333333,,-3.7879769,91.3333333
