,Ensemble_member,Time_since_eruption,a_A,b_A,c_A,Travel_time_x,EA_raw,a_B,b_B,c_B,Travel_time_y
2327,1,73.4833333,-0.0016803,0.7083494,-7.2144028,91.3333333,,-0.0013506,0.5727537,-1.2377442,91.3333333
4655,2,73.4833333,-0.0016934,0.7083564,-6.8435415,91.3333333,,-0.0012778,0.5637276,-0.7891059,91.3333333
6983,3,73.4833333,-0.0016772,0.7044064,-6.3560468,90.3333333,,-0.0013199,0.5685678,-0.7129295,90.3333333
9311,4,73.4833333,-0.0016578,0.7000952,-5.889872,90.3333333,,-0.0014387,0.5842602,-0.9438958,90.3333333
11639,5,73.4833333,-0.0017145,0.7053927,-5.7189746,90.3333333,,-0.0014575,0.5863368,-0.7633614,90.3333333
13967,6,73.4833333,-0.0017848,0.7124027,-5.6133784,90.3333333,,-0.0014086,0.5821513,-0.3835459,90.3333333
16295,7,73.4833333,-0.001898,0.7248618,-5.6949015,90.3333333,,-0.0012383,0.5675632,0.2390257,90.3333333
18623,8,73.4833333,-0.0018569,0.7181194,-5.21174,90.3333333,,-0.0014316,0.594189,-0.1608295,90.3333333
20951,9,73.4833333,-0.0019647,0.7287955,-5.2396828,89.3333333,,-0.0015193,0.603328,-0.0118896,89.3333333
23279,10,73.4833333,-0.0019545,0.7272227,-4.9958469,89.3333333,,-0.001468,0.5976493,0.4767873,89.3333333
25607,11,73.4833333,-0.0019857,0.7286187,-4.8100494,88.3333333,,-0.0012889,0.5808139,1.1398012,88.3333333
27935,12,73.4833333,-0.0019502,0.7248635,-4.5732054,87.3333333,,-0.0014249,0.5965404,0.996372,87.3333333
30263,13,73.4833333,-0.0017971,0.7047845,-3.8417154,85.3333333,,-0.0015096,0.6075793,0.9457879,85.3333333
32591,14,73.4833333,-0.0016921,0.6879616,-3.2913199,84.3333333,38.1503321,-0.001569,0.6168335,0.9246904,84.3333333
34919,15,73.4833333,-0.0011927,0.6310713,-1.6018215,83.3333333,38.3124346,-0.0015224,0.6145869,1.1736973,83.3333333
37247,16,73.4833333,-0.0008831,0.5989094,-0.6529008,82.3333333,38.4668192,-0.0015281,0.6162634,1.3705229,82.3333333
39575,17,73.4833333,-0.001379,0.6330782,-0.7599623,82.3333333,38.352173,-0.0016119,0.6266868,1.3060065,82.3333333
41903,18,73.4833333,-0.0007788,0.5864186,0.2113265,81.3333333,38.8195973,-0.0016542,0.6323671,1.3667682,81.3333333
44231,19,73.4833333,-0.001106,0.6032727,0.3798783,80.3333333,38.7395653,-0.0016732,0.6360212,1.4686759,80.3333333
46559,20,73.4833333,-0.0011427,0.6134739,0.1671735,80.3333333,39.1882342,-0.0016504,0.6362781,1.6299674,80.3333333
48887,21,73.4833333,-0.0013875,0.6415069,-0.3786122,79.3333333,39.2404152,-0.0016677,0.6398136,1.7124744,79.3333333
