,Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y
0,1,18.85,-3.4399013,71.4,-3.9222362,71.4
1,1,18.8666667,-3.4357434,71.4,-3.9242574,71.4
2,1,18.8833333,-3.4315856,71.4,-3.9262787,71.4
3,1,18.9,-3.4274277,71.4,-3.9283,71.4
4,1,18.9166667,-3.4232698,71.4,-3.9303213,71.4
5,1,18.9333333,-3.419112,71.4,-3.9323426,71.4
6,1,18.95,-3.4149541,71.4,-3.9343638,71.4
7,1,18.9666667,-3.4107962,71.4,-3.9363851,71.4
8,1,18.9833333,-3.4066384,71.4,-3.9384064,71.4
9,1,19.0,-3.4024805,71.4,-3.9404277,71.4
10,1,19.0166667,-3.3983226,71.4,-3.9424489,71.4
11,1,19.0333333,-3.3941648,71.4,-3.9444702,71.4
12,1,19.05,-3.3900069,71.4,-3.9464915,71.4
13,1,19.0666667,-3.385849,71.4,-3.9485128,71.4
14,1,19.0833333,-3.3816912,71.4,-3.950534,71.4
15,1,19.1,-3.3775333,71.4,-3.9525553,71.4
16,1,19.1166667,-3.3733754,71.4,-3.9545766,71.4
17,1,19.1333333,-3.3692175,71.4,-3.9565979,71.4
18,1,19.15,-3.3650597,71.4,-3.9586191,71.4
19,1,19.1666667,-3.3609018,71.4,-3.9606404,71.4
20,1,19.1833333,-3.3567439,71.4,-3.9626617,71.4
21,1,19.2,-3.3525861,71.4,-3.964683,71.4
22,1,19.2166667,-3.3484282,71.4,-3.9667043,71.4
23,1,19.2333333,-3.3442703,71.4,-3.9687255,71.4
24,1,19.25,-3.3401125,71.4,-3.9707468,71.4
25,1,19.2666667,-3.3359546,71.4,-3.9727681,71.4
26,1,19.2833333,-3.3317967,71.4,-3.9747894,71.4
27,1,19.3,-3.3276389,71.4,-3.9768106,71.4
28,1,19.3166667,-3.323481,71.4,-3.9788319,71.4
29,1,19.3333333,-3.3193231,71.4,-3.9808532,71.4
30,1,19.35,-3.3151653,71.4,-3.9828745,71.4
