Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y,EA_raw
16,32.3166667,-4.8122315,93.6666667,-6.2285781,93.6666667,
17,32.3166667,-4.6017769,92.6666667,-6.0190327,92.6666667,
18,32.3166667,-4.3813224,91.6666667,-5.7885781,91.6666667,
19,32.3166667,-4.1713224,91.6666667,-5.7724464,91.6666667,15.2253065
20,32.3166667,-3.9408679,90.6666667,-5.5614476,90.6666667,15.5824842
21,32.3166667,-3.8308679,89.6666667,-5.6461539,89.6666667,15.6381812
1,32.3333333,-8.8052449,107.6666667,-9.7943222,107.6666667,
2,32.3333333,-8.3476691,106.6666667,-9.6806858,106.6666667,
3,32.3333333,-8.126457,104.6666667,-9.3806858,104.6666667,
4,32.3333333,-7.7582752,103.6666667,-9.0618979,103.6666667,
5,32.3333333,-7.4870631,102.6666667,-8.8306858,102.6666667,
6,32.3333333,-7.196457,101.6666667,-8.5800798,101.6666667,
7,32.3333333,-6.9058509,100.6666667,-8.3094737,100.6666667,
8,32.3333333,-6.6446388,99.6666667,-8.0900798,99.6666667,
9,32.3333333,-6.3458509,98.6666667,-7.8294737,98.6666667,
10,32.3333333,-6.1346388,97.6666667,-7.5688676,97.6666667,
11,32.3333333,-5.9952449,94.6666667,-7.3194737,94.6666667,
12,32.3333333,-5.7152449,93.6666667,-7.1294737,93.6666667,
13,32.3333333,-5.4752449,93.6666667,-6.8900798,93.6666667,
14,32.3333333,-5.2940328,94.6666667,-6.6800798,94.6666667,
15,32.3333333,-5.0634267,94.6666667,-6.3788676,94.6666667,
16,32.3333333,-4.8140328,93.6666667,-6.2294737,93.6666667,
17,32.3333333,-4.6034267,92.6666667,-6.0200798,92.6666667,
18,32.3333333,-4.3828206,91.6666667,-5.7894737,91.6666667,
19,32.3333333,-4.1728206,91.6666667,-5.7717743,91.6666667,15.2333772
20,32.3333333,-3.9422146,90.6666667,-5.5639751,90.6666667,15.589747
21,32.3333333,-3.8322146,89.6666667,-5.6473525,89.6666667,15.6463485
1,32.35,-8.8073492,107.6666667,-9.7964299,107.6666667,
2,32.35,-8.3503795,106.6666667,-9.6818844,106.6666667,
3,32.35,-8.1288643,104.6666667,-9.3818844,104.6666667,
4,32.35,-7.7611371,103.6666667,-9.0633995,103.6666667,
5,32.35,-7.4896219,102.6666667,-8.8318844,102.6666667,
6,32.35,-7.1988643,101.6666667,-8.5811268,101.6666667,
7,32.35,-6.9081068,100.6666667,-8.3103692,100.6666667,
8,32.35,-6.6465916,99.6666667,-8.0911268,99.6666667,
9,32.35,-6.3481068,98.6666667,-7.8303692,98.6666667,
10,32.35,-6.1365916,97.6666667,-7.5696117,97.6666667,
11,32.35,-5.9973492,94.6666667,-7.3203692,94.6666667,
12,32.35,-5.7173492,93.6666667,-7.1303692,93.6666667,
13,32.35,-5.4773492,93.6666667,-6.8911268,93.6666667,
14,32.35,-5.295834,94.6666667,-6.6811268,94.6666667,
15,32.35,-5.0650765,94.6666667,-6.3796117,94.6666667,
16,32.35,-4.815834,93.6666667,-6.2303692,93.6666667,
17,32.35,-4.6050765,92.6666667,-6.0211268,92.6666667,
18,32.35,-4.3843189,91.6666667,-5.7903692,91.6666667,
19,32.35,-4.1743189,91.6666667,-5.7711021,91.6666667,15.2414479
20,32.35,-3.9435613,90.6666667,-5.5665026,90.6666667,15.5970099
21,32.35,-3.8335613,89.6666667,-5.6485511,89.6666667,15.6545159
1,32.3666667,-8.8094535,107.6666667,-9.7985375,107.6666667,
2,32.3666667,-8.3530899,106.6666667,-9.683083,106.6666667,
3,32.3666667,-8.1312717,104.6666667,-9.383083,104.6666667,
4,32.3666667,-7.763999,103.6666667,-9.0649012,103.6666667,
5,32.3666667,-7.4921808,102.6666667,-8.833083,102.6666667,
6,32.3666667,-7.2012717,101.6666667,-8.5821739,101.6666667,
7,32.3666667,-6.9103626,100.6666667,-8.3112648,100.6666667,
8,32.3666667,-6.6485444,99.6666667,-8.0921739,99.6666667,
9,32.3666667,-6.3503626,98.6666667,-7.8312648,98.6666667,
10,32.3666667,-6.1385444,97.6666667,-7.5703557,97.6666667,
11,32.3666667,-5.9994535,94.6666667,-7.3212648,94.6666667,
12,32.3666667,-5.7194535,93.6666667,-7.1312648,93.6666667,
13,32.3666667,-5.4794535,93.6666667,-6.8921739,93.6666667,
14,32.3666667,-5.2976353,94.6666667,-6.6821739,94.6666667,
15,32.3666667,-5.0667262,94.6666667,-6.3803557,94.6666667,
16,32.3666667,-4.8176353,93.6666667,-6.2312648,93.6666667,
17,32.3666667,-4.6067262,92.6666667,-6.0221739,92.6666667,
18,32.3666667,-4.3858171,91.6666667,-5.7912648,91.6666667,
19,32.3666667,-4.1758171,91.6666667,-5.7704299,91.6666667,15.2495187
