Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y
1,18.85,-3.4399013,71.4,-3.9222362,71.4
2,18.85,-3.1599013,70.4,-3.7022362,70.4
3,18.85,-2.8399013,69.4,-3.4822362,69.4
4,18.85,-2.6399013,69.4,-3.1422362,69.4
5,18.85,-2.3299013,68.4,-2.9022362,68.4
6,18.85,-2.1499013,68.4,-2.7122362,68.4
7,18.85,-1.8399013,67.4,-2.4022362,67.4
8,18.85,-1.6499013,66.4,-2.1922362,66.4
9,18.85,-1.3699013,66.4,-1.9722362,66.4
10,18.85,-1.1099013,65.4,-1.7822362,65.4
11,18.85,-0.8599013,64.4,-1.5422362,64.4
12,18.85,-0.6599013,64.4,-1.3122362,64.4
13,18.85,-0.6599013,64.4,-1.3122362,64.4
14,18.85,-0.1799013,63.4,-0.8822362,63.4
15,18.85,-0.1799013,63.4,-0.8822362,63.4
16,18.85,0.2700987,61.4,-0.4922362,61.4
17,18.85,0.4600987,61.4,-0.3122362,61.4
18,18.85,0.6800987,60.4,-0.1022362,60.4
19,18.85,0.8900987,60.4,0.0777638,60.4
20,18.85,1.0700987,59.4,0.2877638,59.4
21,18.85,1.2500987,59.4,0.4577638,59.4
1,18.8666667,-3.4357434,71.4,-3.9242574,71.4
2,18.8666667,-3.1553588,70.4,-3.7038728,70.4
3,18.8666667,-2.8353588,69.4,-3.4838728,69.4
4,18.8666667,-2.6349742,69.4,-3.1438728,69.4
5,18.8666667,-2.3245896,68.4,-2.9038728,68.4
6,18.8666667,-2.144205,68.4,-2.7138728,68.4
7,18.8666667,-1.8345896,67.4,-2.4034882,67.4
8,18.8666667,-1.644205,66.4,-2.1934882,66.4
9,18.8666667,-1.3638204,66.4,-1.9734882,66.4
10,18.8666667,-1.104205,65.4,-1.7834882,65.4
11,18.8666667,-0.854205,64.4,-1.5434882,64.4
12,18.8666667,-0.6538204,64.4,-1.3131036,64.4
13,18.8666667,-0.6538204,64.4,-1.3131036,64.4
14,18.8666667,-0.174205,63.4,-0.882719,63.4
15,18.8666667,-0.174205,63.4,-0.882719,63.4
16,18.8666667,0.2754104,61.4,-0.492719,61.4
17,18.8666667,0.465795,61.4,-0.3131036,61.4
18,18.8666667,0.6854104,60.4,-0.102719,60.4
19,18.8666667,0.8954104,60.4,0.077281,60.4
20,18.8666667,1.0754104,59.4,0.287281,59.4
21,18.8666667,1.2554104,59.4,0.4576656,59.4
1,18.8833333,-3.4315856,71.4,-3.9262787,71.4
2,18.8833333,-3.1508163,70.4,-3.7055095,70.4
3,18.8833333,-2.8308163,69.4,-3.4855095,69.4
4,18.8833333,-2.6300471,69.4,-3.1455095,69.4
5,18.8833333,-2.3192779,68.4,-2.9055095,68.4
6,18.8833333,-2.1385086,68.4,-2.7155095,68.4
7,18.8833333,-1.8292779,67.4,-2.4047403,67.4
8,18.8833333,-1.6385086,66.4,-2.1947403,66.4
9,18.8833333,-1.3577394,66.4,-1.9747403,66.4
10,18.8833333,-1.0985086,65.4,-1.7847403,65.4
11,18.8833333,-0.8485086,64.4,-1.5447403,64.4
12,18.8833333,-0.6477394,64.4,-1.313971,64.4
13,18.8833333,-0.6477394,64.4,-1.313971,64.4
14,18.8833333,-0.1685086,63.4,-0.8832018,63.4
15,18.8833333,-0.1685086,63.4,-0.8832018,63.4
16,18.8833333,0.2807221,61.4,-0.4932018,61.4
17,18.8833333,0.4714914,61.4,-0.313971,61.4
18,18.8833333,0.6907221,60.4,-0.1032018,60.4
19,18.8833333,0.9007221,60.4,0.0767982,60.4
20,18.8833333,1.0807221,59.4,0.2867982,59.4
21,18.8833333,1.2607221,59.4,0.4575674,59.4
1,18.9,-3.4274277,71.4,-3.9283,71.4
2,18.9,-3.1462739,70.4,-3.7071462,70.4
3,18.9,-2.8262739,69.4,-3.4871462,69.4
4,18.9,-2.62512,69.4,-3.1471462,69.4
5,18.9,-2.3139662,68.4,-2.9071462,68.4
6,18.9,-2.1328123,68.4,-2.7171462,68.4
7,18.9,-1.8239662,67.4,-2.4059923,67.4
8,18.9,-1.6328123,66.4,-2.1959923,66.4
9,18.9,-1.3516585,66.4,-1.9759923,66.4
10,18.9,-1.0928123,65.4,-1.7859923,65.4
11,18.9,-0.8428123,64.4,-1.5459923,64.4
12,18.9,-0.6416585,64.4,-1.3148385,64.4
13,18.9,-0.6416585,64.4,-1.3148385,64.4
14,18.9,-0.1628123,63.4,-0.8836846,63.4
15,18.9,-0.1628123,63.4,-0.8836846,63.4
16,18.9,0.2860338,61.4,-0.4936846,61.4
17,18.9,0.4771877,61.4,-0.3148385,61.4
18,18.9,0.6960338,60.4,-0.1036846,60.4
19,18.9,0.9060338,60.4,0.0763154,60.4
20,18.9,1.0860338,59.4,0.2863154,59.4
21,18.9,1.2660338,59.4,0.4574692,59.4
1,18.9166667,-3.4232698,71.4,-3.9303213,71.4
2,18.9166667,-3.1417314,70.4,-3.7087828,70.4
3,18.9166667,-2.8217314,69.4,-3.4887828,69.4
4,18.9166667,-2.6201929,69.4,-3.1487828,69.4
5,18.9166667,-2.3086544,68.4,-2.9087828,68.4
6,18.9166667,-2.127116,68.4,-2.7187828,68.4
7,18.9166667,-1.8186544,67.4,-2.4072444,67.4
8,18.9166667,-1.627116,66.4,-2.1972444,66.4
9,18.9166667,-1.3455775,66.4,-1.9772444,66.4
10,18.9166667,-1.087116,65.4,-1.7872444,65.4
11,18.9166667,-0.837116,64.4,-1.5472444,64.4
12,18.9166667,-0.6355775,64.4,-1.3157059,64.4
13,18.9166667,-0.6355775,64.4,-1.3157059,64.4
14,18.9166667,-0.157116,63.4,-0.8841674,63.4
15,18.9166667,-0.157116,63.4,-0.8841674,63.4
16,18.9166667,0.2913456,61.4,-0.4941674,61.4
17,18.9166667,0.482884,61.4,-0.3157059,61.4
18,18.9166667,0.7013456,60.4,-0.1041674,60.4
19,18.9166667,0.9113456,60.4,0.0758326,60.4
20,18.9166667,1.0913456,59.4,0.2858326,59.4
21,18.9166667,1.2713456,59.4,0.457371,59.4
1,18.9333333,-3.419112,71.4,-3.9323426,71.4
2,18.9333333,-3.1371889,70.4,-3.7104195,70.4
3,18.9333333,-2.8171889,69.4,-3.4904195,69.4
4,18.9333333,-2.6152658,69.4,-3.1504195,69.4
5,18.9333333,-2.3033427,68.4,-2.9104195,68.4
6,18.9333333,-2.1214197,68.4,-2.7204195,68.4
7,18.9333333,-1.8133427,67.4,-2.4084964,67.4
8,18.9333333,-1.6214197,66.4,-2.1984964,66.4
9,18.9333333,-1.3394966,66.4,-1.9784964,66.4
10,18.9333333,-1.0814197,65.4,-1.7884964,65.4
11,18.9333333,-0.8314197,64.4,-1.5484964,64.4
12,18.9333333,-0.6294966,64.4,-1.3165733,64.4
13,18.9333333,-0.6294966,64.4,-1.3165733,64.4
14,18.9333333,-0.1514197,63.4,-0.8846502,63.4
15,18.9333333,-0.1514197,63.4,-0.8846502,63.4
16,18.9333333,0.2966573,61.4,-0.4946502,61.4
17,18.9333333,0.4885803,61.4,-0.3165733,61.4
18,18.9333333,0.7066573,60.4,-0.1046502,60.4
19,18.9333333,0.9166573,60.4,0.0753498,60.4
20,18.9333333,1.0966573,59.4,0.2853498,59.4
21,18.9333333,1.2766573,59.4,0.4572728,59.4
1,18.95,-3.4149541,71.4,-3.9343638,71.4
2,18.95,-3.1326464,70.4,-3.7120561,70.4
3,18.95,-2.8126464,69.4,-3.4920561,69.4
4,18.95,-2.6103387,69.4,-3.1520561,69.4
5,18.95,-2.298031,68.4,-2.9120561,68.4
6,18.95,-2.1157233,68.4,-2.7220561,68.4
7,18.95,-1.808031,67.4,-2.4097484,67.4
8,18.95,-1.6157233,66.4,-2.1997484,66.4
9,18.95,-1.3334156,66.4,-1.9797484,66.4
10,18.95,-1.0757233,65.4,-1.7897484,65.4
11,18.95,-0.8257233,64.4,-1.5497484,64.4
12,18.95,-0.6234156,64.4,-1.3174408,64.4
13,18.95,-0.6234156,64.4,-1.3174408,64.4
14,18.95,-0.1457233,63.4,-0.8851331,63.4
15,18.95,-0.1457233,63.4,-0.8851331,63.4
16,18.95,0.301969,61.4,-0.4951331,61.4
17,18.95,0.4942767,61.4,-0.3174408,61.4
18,18.95,0.711969,60.4,-0.1051331,60.4
19,18.95,0.921969,60.4,0.0748669,60.4
20,18.95,1.101969,59.4,0.2848669,59.4
21,18.95,1.281969,59.4,0.4571746,59.4
1,18.9666667,-3.4107962,71.4,-3.9363851,71.4
2,18.9666667,-3.1281039,70.4,-3.7136928,70.4
3,18.9666667,-2.8081039,69.4,-3.4936928,69.4
4,18.9666667,-2.6054116,69.4,-3.1536928,69.4
5,18.9666667,-2.2927193,68.4,-2.9136928,68.4
6,18.9666667,-2.110027,68.4,-2.7236928,68.4
7,18.9666667,-1.8027193,67.4,-2.4110005,67.4
8,18.9666667,-1.610027,66.4,-2.2010005,66.4
9,18.9666667,-1.3273347,66.4,-1.9810005,66.4
10,18.9666667,-1.070027,65.4,-1.7910005,65.4
11,18.9666667,-0.820027,64.4,-1.5510005,64.4
12,18.9666667,-0.6173347,64.4,-1.3183082,64.4
13,18.9666667,-0.6173347,64.4,-1.3183082,64.4
14,18.9666667,-0.140027,63.4,-0.8856159,63.4
15,18.9666667,-0.140027,63.4,-0.8856159,63.4
16,18.9666667,0.3072807,61.4,-0.4956159,61.4
17,18.9666667,0.499973,61.4,-0.3183082,61.4
18,18.9666667,0.7172807,60.4,-0.1056159,60.4
19,18.9666667,0.9272807,60.4,0.0743841,60.4
20,18.9666667,1.1072807,59.4,0.2843841,59.4
21,18.9666667,1.2872807,59.4,0.4570764,59.4
1,18.9833333,-3.4066384,71.4,-3.9384064,71.4
2,18.9833333,-3.1235614,70.4,-3.7153295,70.4
3,18.9833333,-2.8035614,69.4,-3.4953295,69.4
4,18.9833333,-2.6004845,69.4,-3.1553295,69.4
5,18.9833333,-2.2874076,68.4,-2.9153295,68.4
6,18.9833333,-2.1043307,68.4,-2.7253295,68.4
7,18.9833333,-1.7974076,67.4,-2.4122525,67.4
8,18.9833333,-1.6043307,66.4,-2.2022525,66.4
9,18.9833333,-1.3212537,66.4,-1.9822525,66.4
10,18.9833333,-1.0643307,65.4,-1.7922525,65.4
11,18.9833333,-0.8143307,64.4,-1.5522525,64.4
12,18.9833333,-0.6112537,64.4,-1.3191756,64.4
13,18.9833333,-0.6112537,64.4,-1.3191756,64.4
14,18.9833333,-0.1343307,63.4,-0.8860987,63.4
15,18.9833333,-0.1343307,63.4,-0.8860987,63.4
16,18.9833333,0.3125924,61.4,-0.4960987,61.4
17,18.9833333,0.5056693,61.4,-0.3191756,61.4
18,18.9833333,0.7225924,60.4,-0.1060987,60.4
19,18.9833333,0.9325924,60.4,0.0739013,60.4
20,18.9833333,1.1125924,59.4,0.2839013,59.4
21,18.9833333,1.2925924,59.4,0.4569782,59.4
1,19.0,-3.4024805,71.4,-3.9404277,71.4
2,19.0,-3.119019,70.4,-3.7169661,70.4
3,19.0,-2.799019,69.4,-3.4969661,69.4
4,19.0,-2.5955574,69.4,-3.1569661,69.4
5,19.0,-2.2820959,68.4,-2.9169661,68.4
6,19.0,-2.0986343,68.4,-2.7269661,68.4
7,19.0,-1.7920959,67.4,-2.4135046,67.4
8,19.0,-1.5986343,66.4,-2.2035046,66.4
9,19.0,-1.3151728,66.4,-1.9835046,66.4
10,19.0,-1.0586343,65.4,-1.7935046,65.4
11,19.0,-0.8086343,64.4,-1.5535046,64.4
12,19.0,-0.6051728,64.4,-1.320043,64.4
13,19.0,-0.6051728,64.4,-1.320043,64.4
14,19.0,-0.1286343,63.4,-0.8865815,63.4
15,19.0,-0.1286343,63.4,-0.8865815,63.4
16,19.0,0.3179041,61.4,-0.4965815,61.4
17,19.0,0.5113657,61.4,-0.320043,61.4
18,19.0,0.7279041,60.4,-0.1065815,60.4
19,19.0,0.9379041,60.4,0.0734185,60.4
20,19.0,1.1179041,59.4,0.2834185,59.4
21,19.0,1.2979041,59.4,0.45688,59.4
1,19.0166667,-3.3983226,71.4,-3.9424489,71.4
2,19.0166667,-3.1144765,70.4,-3.7186028,70.4
3,19.0166667,-2.7944765,69.4,-3.4986028,69.4
4,19.0166667,-2.5906303,69.4,-3.1586028,69.4
5,19.0166667,-2.2767842,68.4,-2.9186028,68.4
6,19.0166667,-2.092938,68.4,-2.7286028,68.4
7,19.0166667,-1.7867842,67.4,-2.4147566,67.4
8,19.0166667,-1.592938,66.4,-2.2047566,66.4
9,19.0166667,-1.3090919,66.4,-1.9847566,66.4
10,19.0166667,-1.052938,65.4,-1.7947566,65.4
11,19.0166667,-0.802938,64.4,-1.5547566,64.4
12,19.0166667,-0.5990919,64.4,-1.3209105,64.4
13,19.0166667,-0.5990919,64.4,-1.3209105,64.4
14,19.0166667,-0.122938,63.4,-0.8870643,63.4
15,19.0166667,-0.122938,63.4,-0.8870643,63.4
16,19.0166667,0.3232158,61.4,-0.4970643,61.4
17,19.0166667,0.517062,61.4,-0.3209105,61.4
18,19.0166667,0.7332158,60.4,-0.1070643,60.4
19,19.0166667,0.9432158,60.4,0.0729357,60.4
20,19.0166667,1.1232158,59.4,0.2829357,59.4
21,19.0166667,1.3032158,59.4,0.4567818,59.4
1,19.0333333,-3.3941648,71.4,-3.9444702,71.4
2,19.0333333,-3.109934,70.4,-3.7202394,70.4
3,19.0333333,-2.789934,69.4,-3.5002394,69.4
4,19.0333333,-2.5857032,69.4,-3.1602394,69.4
5,19.0333333,-2.2714724,68.4,-2.9202394,68.4
6,19.0333333,-2.0872417,68.4,-2.7302394,68.4
7,19.0333333,-1.7814724,67.4,-2.4160087,67.4
8,19.0333333,-1.5872417,66.4,-2.2060087,66.4
9,19.0333333,-1.3030109,66.4,-1.9860087,66.4
