Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_raw,EA_diff_B,Travel_time_y
15,34.75,-1.1608366,83.3333333,18.9233,-0.1884035,83.3333333
16,34.75,-0.8383016,82.3333333,18.9989815,0.0508071,82.3333333
17,34.75,-0.3657723,82.3333333,19.4759259,0.2415965,82.3333333
18,34.75,-0.0220693,81.3333333,19.5587919,0.4515965,81.3333333
19,34.75,0.1610071,80.3333333,20.0046963,0.6715965,80.3333333
20,34.75,0.202335,80.3333333,19.9822812,0.852386,80.3333333
21,34.75,0.1008531,79.3333333,20.190162,1.0515965,79.3333333
1,34.7666667,-4.3100595,91.3333333,,-4.0451684,91.3333333
2,34.7666667,-4.0090069,91.3333333,,-3.766221,91.3333333
3,34.7666667,-3.6690069,90.3333333,,-3.4883263,90.3333333
4,34.7666667,-3.3679542,90.3333333,,-3.2293789,90.3333333
5,34.7666667,-3.0990069,90.3333333,,-2.9514842,90.3333333
6,34.7666667,-2.8590069,90.3333333,,-2.6714842,90.3333333
7,34.7666667,-2.6579542,90.3333333,,-2.3325368,90.3333333
8,34.7666667,-2.3769016,90.3333333,,-2.0614842,90.3333333
9,34.7666667,-2.1769016,89.3333333,,-1.7404315,89.3333333
10,34.7666667,-1.9979542,89.3333333,,-1.3993789,89.3333333
11,34.7666667,-1.7979542,88.3333333,,-1.1083263,88.3333333
12,34.7666667,-1.6900595,87.3333333,,-0.8683263,87.3333333
13,34.7666667,-1.5100595,85.3333333,,-0.6483263,85.3333333
14,34.7666667,-1.1882143,84.3333333,18.4551577,-0.4072736,84.3333333
15,34.7666667,-1.160201,83.3333333,18.9318169,-0.1872736,83.3333333
16,34.7666667,-0.8379849,82.3333333,19.0074497,0.0516737,82.3333333
17,34.7666667,-0.3669387,82.3333333,19.4851775,0.2427264,82.3333333
18,34.7666667,-0.0225228,81.3333333,19.5677552,0.4527264,81.3333333
19,34.7666667,0.1617177,80.3333333,20.0138434,0.6727264,80.3333333
20,34.7666667,0.2027077,80.3333333,19.9916491,0.853779,80.3333333
21,34.7666667,0.1043172,79.3333333,20.1989346,1.0527264,79.3333333
1,34.7833333,-4.3083683,91.3333333,,-4.0435122,91.3333333
2,34.7833333,-4.0070525,91.3333333,,-3.764828,91.3333333
3,34.7833333,-3.6670525,90.3333333,,-3.4874596,90.3333333
4,34.7833333,-3.3657367,90.3333333,,-3.2287754,90.3333333
5,34.7833333,-3.0970525,90.3333333,,-2.951407,90.3333333
6,34.7833333,-2.8570525,90.3333333,,-2.671407,90.3333333
7,34.7833333,-2.6557367,90.3333333,,-2.3327228,90.3333333
8,34.7833333,-2.3744209,90.3333333,,-2.061407,90.3333333
9,34.7833333,-2.1744209,89.3333333,,-1.7400912,89.3333333
10,34.7833333,-1.9957367,89.3333333,,-1.3987754,89.3333333
11,34.7833333,-1.7957367,88.3333333,,-1.1074596,88.3333333
12,34.7833333,-1.6883683,87.3333333,,-0.8674596,87.3333333
13,34.7833333,-1.5083683,85.3333333,,-0.6474596,85.3333333
14,34.7833333,-1.1859388,84.3333333,18.4638096,-0.4061438,84.3333333
15,34.7833333,-1.1595655,83.3333333,18.9403337,-0.1861438,83.3333333
16,34.7833333,-0.8376682,82.3333333,19.0159179,0.0525404,82.3333333
17,34.7833333,-0.3681051,82.3333333,19.4944292,0.2438562,82.3333333
18,34.7833333,-0.0229763,81.3333333,19.5767184,0.4538562,81.3333333
19,34.7833333,0.1624282,80.3333333,20.0229906,0.6738562,80.3333333
20,34.7833333,0.2030805,80.3333333,20.001017,0.855172,80.3333333
21,34.7833333,0.1077813,79.3333333,20.2077073,1.0538562,79.3333333
1,34.8,-4.306677,91.3333333,,-4.0418561,91.3333333
2,34.8,-4.0050981,91.3333333,,-3.7634351,91.3333333
3,34.8,-3.6650981,90.3333333,,-3.4865929,90.3333333
4,34.8,-3.3635191,90.3333333,,-3.2281719,90.3333333
