Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y
1,15.2,-1.1059735,53.6666667,-2.8301871,53.6666667
2,15.2,-0.7959735,52.6666667,-2.5701871,52.6666667
3,15.2,-0.6259735,51.6666667,-2.3501871,51.6666667
4,15.2,-0.1659735,51.6666667,-2.1001871,51.6666667
5,15.2,0.0240265,50.6666667,-1.8901871,50.6666667
6,15.2,0.2940265,50.6666667,-1.6701871,50.6666667
7,15.2,0.5540265,49.6666667,-1.4601871,49.6666667
8,15.2,0.8140265,48.6666667,-1.2601871,48.6666667
9,15.2,1.0540265,48.6666667,-1.0501871,48.6666667
10,15.2,1.3040265,47.6666667,-0.8601871,47.6666667
11,15.2,1.5240265,47.6666667,-0.6501871,47.6666667
12,15.2,1.7740265,46.6666667,-0.4401871,46.6666667
13,15.2,2.0040265,46.6666667,-0.2401871,46.6666667
14,15.2,2.2340265,45.6666667,-0.0401871,45.6666667
15,15.2,2.4540265,45.6666667,0.1598129,45.6666667
16,15.2,2.6340265,44.6666667,0.3398129,44.6666667
17,15.2,2.8640265,44.6666667,0.4998129,44.6666667
18,15.2,3.0540265,43.6666667,0.6898129,43.6666667
19,15.2,3.2540265,43.6666667,0.8798129,43.6666667
20,15.2,3.4540265,43.6666667,1.0398129,43.6666667
21,15.2,3.6440265,42.6666667,1.2098129,42.6666667
1,15.2166667,-1.1021239,53.6666667,-2.8330237,53.6666667
2,15.2166667,-0.7921239,52.6666667,-2.5730237,52.6666667
3,15.2166667,-0.6212148,51.6666667,-2.3521146,51.6666667
4,15.2166667,-0.1621239,51.6666667,-2.1030237,51.6666667
5,15.2166667,0.0278761,50.6666667,-1.8921146,50.6666667
6,15.2166667,0.2978761,50.6666667,-1.6721146,50.6666667
7,15.2166667,0.5587852,49.6666667,-1.4621146,49.6666667
8,15.2166667,0.8178761,48.6666667,-1.2612055,48.6666667
9,15.2166667,1.0587852,48.6666667,-1.0521146,48.6666667
10,15.2166667,1.3078761,47.6666667,-0.8612055,47.6666667
11,15.2166667,1.5287852,47.6666667,-0.6512055,47.6666667
12,15.2166667,1.7778761,46.6666667,-0.4412055,46.6666667
13,15.2166667,2.0078761,46.6666667,-0.2412055,46.6666667
14,15.2166667,2.2378761,45.6666667,-0.0412055,45.6666667
15,15.2166667,2.4587852,45.6666667,0.1597036,45.6666667
16,15.2166667,2.6387852,44.6666667,0.3397036,44.6666667
17,15.2166667,2.8678761,44.6666667,0.4997036,44.6666667
18,15.2166667,3.0578761,43.6666667,0.6897036,43.6666667
19,15.2166667,3.2587852,43.6666667,0.8797036,43.6666667
20,15.2166667,3.4578761,43.6666667,1.0406126,43.6666667
21,15.2166667,3.6478761,42.6666667,1.2106126,42.6666667
1,15.2333333,-1.0982743,53.6666667,-2.8358603,53.6666667
2,15.2333333,-0.7882743,52.6666667,-2.5758603,52.6666667
3,15.2333333,-0.6164562,51.6666667,-2.3540421,51.6666667
4,15.2333333,-0.1582743,51.6666667,-2.1058603,51.6666667
5,15.2333333,0.0317257,50.6666667,-1.8940421,50.6666667
6,15.2333333,0.3017257,50.6666667,-1.6740421,50.6666667
7,15.2333333,0.5635438,49.6666667,-1.4640421,49.6666667
8,15.2333333,0.8217257,48.6666667,-1.2622239,48.6666667
9,15.2333333,1.0635438,48.6666667,-1.0540421,48.6666667
10,15.2333333,1.3117257,47.6666667,-0.8622239,47.6666667
11,15.2333333,1.5335438,47.6666667,-0.6522239,47.6666667
12,15.2333333,1.7817257,46.6666667,-0.4422239,46.6666667
13,15.2333333,2.0117257,46.6666667,-0.2422239,46.6666667
14,15.2333333,2.2417257,45.6666667,-0.0422239,45.6666667
15,15.2333333,2.4635438,45.6666667,0.1595942,45.6666667
16,15.2333333,2.6435438,44.6666667,0.3395942,44.6666667
17,15.2333333,2.8717257,44.6666667,0.4995942,44.6666667
18,15.2333333,3.0617257,43.6666667,0.6895942,43.6666667
19,15.2333333,3.2635438,43.6666667,0.8795942,43.6666667
20,15.2333333,3.4617257,43.6666667,1.0414124,43.6666667
21,15.2333333,3.6517257,42.6666667,1.2114124,42.6666667
1,15.25,-1.0944248,53.6666667,-2.8386969,53.6666667
2,15.25,-0.7844248,52.6666667,-2.5786969,52.6666667
3,15.25,-0.6116975,51.6666667,-2.3559696,51.6666667
4,15.25,-0.1544248,51.6666667,-2.1086969,51.6666667
5,15.25,0.0355752,50.6666667,-1.8959696,50.6666667
6,15.25,0.3055752,50.6666667,-1.6759696,50.6666667
7,15.25,0.5683025,49.6666667,-1.4659696,49.6666667
8,15.25,0.8255752,48.6666667,-1.2632423,48.6666667
9,15.25,1.0683025,48.6666667,-1.0559696,48.6666667
10,15.25,1.3155752,47.6666667,-0.8632423,47.6666667
11,15.25,1.5383025,47.6666667,-0.6532423,47.6666667
12,15.25,1.7855752,46.6666667,-0.4432423,46.6666667
13,15.25,2.0155752,46.6666667,-0.2432423,46.6666667
14,15.25,2.2455752,45.6666667,-0.0432423,45.6666667
