EA_raw,Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y
,21,48.85,-6.5313867,75.9166667,-0.1644105,75.9166667
29.9609238,1,48.8666667,-13.4557684,90.9166667,-6.3430861,90.9166667
30.0862248,2,48.8666667,-13.2761123,89.9166667,-5.9730861,89.9166667
30.3285961,3,48.8666667,-12.6841748,88.9166667,-5.5930861,88.9166667
30.826912,4,48.8666667,-12.5702684,88.9166667,-5.2430861,88.9166667
31.1439952,5,48.8666667,-12.1962912,87.9166667,-4.8856787,87.9166667
31.5213345,6,48.8666667,-11.8046099,86.9166667,-4.5356787,86.9166667
31.9330471,7,48.8666667,-11.3462227,86.9166667,-4.1956787,86.9166667
32.3934553,8,48.8666667,-10.9032804,85.9166667,-3.8582713,85.9166667
32.5479728,9,48.8666667,-10.7963336,84.9166667,-3.5282713,84.9166667
33.0019956,10,48.8666667,-10.6608876,84.9166667,-3.2182713,84.9166667
,11,48.8666667,-9.7000284,83.9166667,-3.0508639,83.9166667
,12,48.8666667,-9.4000284,82.9166667,-2.7508639,82.9166667
,13,48.8666667,-9.0974358,80.9166667,-2.4382713,80.9166667
,14,48.8666667,-8.7774358,79.9166667,-2.1608639,79.9166667
,15,48.8666667,-8.4800284,78.9166667,-1.8608639,78.9166667
,16,48.8666667,-8.0800284,78.9166667,-1.5608639,78.9166667
,17,48.8666667,-7.8100284,77.9166667,-1.2808639,77.9166667
,18,48.8666667,-7.462621,78.9166667,-0.9934565,78.9166667
,19,48.8666667,-7.152621,77.9166667,-0.7234565,77.9166667
,20,48.8666667,-6.882621,76.9166667,-0.4308639,76.9166667
,21,48.8666667,-6.5352136,75.9166667,-0.1634565,75.9166667
29.9699998,1,48.8833333,-13.461956,90.9166667,-6.3436137,90.9166667
30.0954058,2,48.8833333,-13.2813093,89.9166667,-5.9736137,89.9166667
30.3382921,3,48.8833333,-12.6907459,88.9166667,-5.5936137,88.9166667
30.8365017,4,48.8833333,-12.575716,88.9166667,-5.2436137,88.9166667
31.1534893,5,48.8833333,-12.2014338,87.9166667,-4.8858359,87.9166667
31.5307661,6,48.8833333,-11.8092656,86.9166667,-4.5358359,86.9166667
31.9431019,7,48.8833333,-11.351924,86.9166667,-4.1958359,86.9166667
32.4030288,8,48.8833333,-10.908783,85.9166667,-3.8580581,85.9166667
32.5579468,9,48.8833333,-10.8008611,84.9166667,-3.5280581,84.9166667
33.0124852,10,48.8833333,-10.6662962,84.9166667,-3.2180581,84.9166667
,11,48.8833333,-9.704596,83.9166667,-3.0502803,83.9166667
,12,48.8833333,-9.404596,82.9166667,-2.7502803,82.9166667
,13,48.8833333,-9.1023738,80.9166667,-2.4380581,80.9166667
,14,48.8833333,-8.7823738,79.9166667,-2.1602803,79.9166667
,15,48.8833333,-8.484596,78.9166667,-1.8602803,78.9166667
,16,48.8833333,-8.084596,78.9166667,-1.5602803,78.9166667
,17,48.8833333,-7.814596,77.9166667,-1.2802803,77.9166667
,18,48.8833333,-7.4668183,78.9166667,-0.9925026,78.9166667
,19,48.8833333,-7.1568183,77.9166667,-0.7225026,77.9166667
,20,48.8833333,-6.8868183,76.9166667,-0.4302803,76.9166667
,21,48.8833333,-6.5390405,75.9166667,-0.1625026,75.9166667
29.9790758,1,48.9,-13.4681437,90.9166667,-6.3441412,90.9166667
30.1045868,2,48.9,-13.2865063,89.9166667,-5.9741412,89.9166667
30.347988,3,48.9,-12.697317,88.9166667,-5.5941412,88.9166667
30.8460915,4,48.9,-12.5811637,88.9166667,-5.2441412,88.9166667
31.1629834,5,48.9,-12.2065764,87.9166667,-4.8859931,87.9166667
31.5401977,6,48.9,-11.8139214,86.9166667,-4.5359931,86.9166667
31.9531567,7,48.9,-11.3576252,86.9166667,-4.1959931,86.9166667
32.4126022,8,48.9,-10.9142856,85.9166667,-3.8578449,85.9166667
32.5679208,9,48.9,-10.8053886,84.9166667,-3.5278449,84.9166667
33.0229748,10,48.9,-10.6717048,84.9166667,-3.2178449,84.9166667
,11,48.9,-9.7091637,83.9166667,-3.0496968,83.9166667
,12,48.9,-9.4091637,82.9166667,-2.7496968,82.9166667
,13,48.9,-9.1073118,80.9166667,-2.4378449,80.9166667
,14,48.9,-8.7873118,79.9166667,-2.1596968,79.9166667
,15,48.9,-8.4891637,78.9166667,-1.8596968,78.9166667
,16,48.9,-8.0891637,78.9166667,-1.5596968,78.9166667
,17,48.9,-7.8191637,77.9166667,-1.2796968,77.9166667
,18,48.9,-7.4710155,78.9166667,-0.9915486,78.9166667
