Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y
1,32.45,-9.9467286,102.8333333,-3.35334,102.8333333
2,32.45,-9.5567286,101.8333333,-3.35334,101.8333333
3,32.45,-9.3167286,97.8333333,-3.11334,97.8333333
4,32.45,-8.9367286,97.8333333,-2.84334,97.8333333
5,32.45,-8.6067286,96.8333333,-2.89334,96.8333333
6,32.45,-8.2967286,97.8333333,-2.54334,97.8333333
7,32.45,-7.9867286,96.8333333,-2.31334,96.8333333
8,32.45,-7.6867286,95.8333333,-2.12334,95.8333333
9,32.45,-7.3667286,94.8333333,-1.93334,94.8333333
10,32.45,-7.1367286,93.8333333,-1.71334,93.8333333
11,32.45,-6.8067286,92.8333333,-1.49334,92.8333333
12,32.45,-6.6167286,91.8333333,-1.27334,91.8333333
13,32.45,-6.4167286,90.8333333,-1.02334,90.8333333
14,32.45,-6.1767286,89.8333333,-0.77334,89.8333333
15,32.45,-5.9167286,88.8333333,-0.51334,88.8333333
16,32.45,-5.5967286,88.8333333,-0.29334,88.8333333
17,32.45,-5.3267286,87.8333333,-0.04334,87.8333333
18,32.45,-5.0467286,86.8333333,0.15666,86.8333333
19,32.45,-4.8467286,85.8333333,0.15666,85.8333333
20,32.45,-4.6267286,84.8333333,0.61666,84.8333333
21,32.45,-4.4767286,83.8333333,0.73666,83.8333333
1,32.4666667,-9.9558038,102.8333333,-3.3579727,102.8333333
2,32.4666667,-9.5658038,101.8333333,-3.3566569,101.8333333
3,32.4666667,-9.325409,97.8333333,-3.1153412,97.8333333
4,32.4666667,-8.945409,97.8333333,-2.8458675,97.8333333
5,32.4666667,-8.6152774,96.8333333,-2.8954727,96.8333333
6,32.4666667,-8.3051459,97.8333333,-2.5458675,97.8333333
7,32.4666667,-7.9950143,96.8333333,-2.3156043,96.8333333
8,32.4666667,-7.6948827,95.8333333,-2.1256043,95.8333333
9,32.4666667,-7.3743564,94.8333333,-1.9354727,94.8333333
10,32.4666667,-7.1443564,93.8333333,-1.7154727,93.8333333
11,32.4666667,-6.8143564,92.8333333,-1.4949464,92.8333333
12,32.4666667,-6.6240932,91.8333333,-1.2748148,91.8333333
13,32.4666667,-6.4240932,90.8333333,-1.0246833,90.8333333
14,32.4666667,-6.1838301,89.8333333,-0.7744201,89.8333333
15,32.4666667,-5.9235669,88.8333333,-0.5146833,88.8333333
16,32.4666667,-5.6036985,88.8333333,-0.2946833,88.8333333
17,32.4666667,-5.3336985,87.8333333,-0.0442885,87.8333333
18,32.4666667,-5.0538301,86.8333333,0.1557115,86.8333333
19,32.4666667,-4.8534353,85.8333333,0.1557115,85.8333333
20,32.4666667,-4.6333038,84.8333333,0.6154483,84.8333333
21,32.4666667,-4.4827774,83.8333333,0.7357115,83.8333333
1,32.4833333,-9.9648789,102.8333333,-3.3626055,102.8333333
2,32.4833333,-9.5748789,101.8333333,-3.3599739,101.8333333
3,32.4833333,-9.3340895,97.8333333,-3.1173423,97.8333333
4,32.4833333,-8.9540895,97.8333333,-2.8483949,97.8333333
5,32.4833333,-8.6238263,96.8333333,-2.8976055,96.8333333
6,32.4833333,-8.3135632,97.8333333,-2.5483949,97.8333333
7,32.4833333,-8.0033,96.8333333,-2.3178686,96.8333333
8,32.4833333,-7.7030368,95.8333333,-2.1278686,95.8333333
9,32.4833333,-7.3819842,94.8333333,-1.9376055,94.8333333
10,32.4833333,-7.1519842,93.8333333,-1.7176055,93.8333333
11,32.4833333,-6.8219842,92.8333333,-1.4965528,92.8333333
12,32.4833333,-6.6314579,91.8333333,-1.2762897,91.8333333
13,32.4833333,-6.4314579,90.8333333,-1.0260265,90.8333333
14,32.4833333,-6.1909316,89.8333333,-0.7755002,89.8333333
15,32.4833333,-5.9304053,88.8333333,-0.5160265,88.8333333
16,32.4833333,-5.6106684,88.8333333,-0.2960265,88.8333333
17,32.4833333,-5.3406684,87.8333333,-0.045237,87.8333333
18,32.4833333,-5.0609316,86.8333333,0.154763,86.8333333
19,32.4833333,-4.8601421,85.8333333,0.154763,85.8333333
20,32.4833333,-4.6398789,84.8333333,0.6142366,84.8333333
21,32.4833333,-4.4888263,83.8333333,0.734763,83.8333333
1,32.5,-9.9739541,102.8333333,-3.3672382,102.8333333
2,32.5,-9.5839541,101.8333333,-3.3632908,101.8333333
3,32.5,-9.3427699,97.8333333,-3.1193435,97.8333333
4,32.5,-8.9627699,97.8333333,-2.8509224,97.8333333
5,32.5,-8.6323752,96.8333333,-2.8997382,96.8333333
6,32.5,-8.3219805,97.8333333,-2.5509224,97.8333333
7,32.5,-8.0115857,96.8333333,-2.3201329,96.8333333
8,32.5,-7.711191,95.8333333,-2.1301329,95.8333333
9,32.5,-7.389612,94.8333333,-1.9397382,94.8333333
10,32.5,-7.159612,93.8333333,-1.7197382,93.8333333
11,32.5,-6.829612,92.8333333,-1.4981592,92.8333333
12,32.5,-6.6388226,91.8333333,-1.2777645,91.8333333
13,32.5,-6.4388226,90.8333333,-1.0273698,90.8333333
14,32.5,-6.1980331,89.8333333,-0.7765803,89.8333333
15,32.5,-5.9372436,88.8333333,-0.5173698,88.8333333
16,32.5,-5.6176383,88.8333333,-0.2973698,88.8333333
17,32.5,-5.3476383,87.8333333,-0.0461856,87.8333333
18,32.5,-5.0680331,86.8333333,0.1538144,86.8333333
19,32.5,-4.8668489,85.8333333,0.1538144,85.8333333
20,32.5,-4.6464541,84.8333333,0.613025,84.8333333
21,32.5,-4.4948752,83.8333333,0.7338144,83.8333333
1,32.5166667,-9.9830293,102.8333333,-3.3718709,102.8333333
2,32.5166667,-9.5930293,101.8333333,-3.3666078,101.8333333
3,32.5166667,-9.3514504,97.8333333,-3.1213446,97.8333333
4,32.5166667,-8.9714504,97.8333333,-2.8534499,97.8333333
5,32.5166667,-8.6409241,96.8333333,-2.9018709,96.8333333
6,32.5166667,-8.3303977,97.8333333,-2.5534499,97.8333333
7,32.5166667,-8.0198714,96.8333333,-2.3223972,96.8333333
8,32.5166667,-7.7193451,95.8333333,-2.1323972,95.8333333
9,32.5166667,-7.3972398,94.8333333,-1.9418709,94.8333333
10,32.5166667,-7.1672398,93.8333333,-1.7218709,93.8333333
11,32.5166667,-6.8372398,92.8333333,-1.4997657,92.8333333
12,32.5166667,-6.6461872,91.8333333,-1.2792393,91.8333333
13,32.5166667,-6.4461872,90.8333333,-1.028713,90.8333333
14,32.5166667,-6.2051346,89.8333333,-0.7776604,89.8333333
15,32.5166667,-5.944082,88.8333333,-0.518713,88.8333333
16,32.5166667,-5.6246083,88.8333333,-0.298713,88.8333333
17,32.5166667,-5.3546083,87.8333333,-0.0471341,87.8333333
18,32.5166667,-5.0751346,86.8333333,0.1528659,86.8333333
19,32.5166667,-4.8735556,85.8333333,0.1528659,85.8333333
20,32.5166667,-4.6530293,84.8333333,0.6118133,84.8333333
21,32.5166667,-4.5009241,83.8333333,0.7328659,83.8333333
1,32.5333333,-9.9921045,102.8333333,-3.3765037,102.8333333
2,32.5333333,-9.6021045,101.8333333,-3.3699247,101.8333333
3,32.5333333,-9.3601308,97.8333333,-3.1233458,97.8333333
4,32.5333333,-8.9801308,97.8333333,-2.8559773,97.8333333
5,32.5333333,-8.6494729,96.8333333,-2.9040037,96.8333333
6,32.5333333,-8.338815,97.8333333,-2.5559773,97.8333333
7,32.5333333,-8.0281571,96.8333333,-2.3246616,96.8333333
8,32.5333333,-7.7274992,95.8333333,-2.1346616,95.8333333
9,32.5333333,-7.4048677,94.8333333,-1.9440037,94.8333333
10,32.5333333,-7.1748677,93.8333333,-1.7240037,93.8333333
11,32.5333333,-6.8448677,92.8333333,-1.5013721,92.8333333
12,32.5333333,-6.6535519,91.8333333,-1.2807142,91.8333333
13,32.5333333,-6.4535519,90.8333333,-1.0300563,90.8333333
14,32.5333333,-6.2122361,89.8333333,-0.7787405,89.8333333
15,32.5333333,-5.9509203,88.8333333,-0.5200563,88.8333333
16,32.5333333,-5.6315782,88.8333333,-0.3000563,88.8333333
17,32.5333333,-5.3615782,87.8333333,-0.0480826,87.8333333
18,32.5333333,-5.0822361,86.8333333,0.1519174,86.8333333
19,32.5333333,-4.8802624,85.8333333,0.1519174,85.8333333
20,32.5333333,-4.6596045,84.8333333,0.6106016,84.8333333
21,32.5333333,-4.5069729,83.8333333,0.7319174,83.8333333
