Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y
1,21.8333333,-3.1351975,73.25,-2.5129167,73.25
2,21.8333333,-2.8751975,72.25,-2.3729167,72.25
3,21.8333333,-2.6051975,71.25,-2.1429167,71.25
4,21.8333333,-2.3051975,70.25,-1.9929167,70.25
5,21.8333333,-2.0551975,70.25,-1.8429167,70.25
6,21.8333333,-1.7851975,69.25,-1.7229167,69.25
7,21.8333333,-1.5251975,68.25,-1.4929167,68.25
8,21.8333333,-1.2951975,67.25,-1.3429167,67.25
9,21.8333333,-1.0851975,66.25,-1.1729167,66.25
10,21.8333333,-0.8451975,66.25,-0.9829167,66.25
11,21.8333333,-0.5351975,65.25,-0.8729167,65.25
12,21.8333333,-0.3451975,64.25,-0.7029167,64.25
13,21.8333333,-0.1151975,64.25,-0.5029167,64.25
14,21.8333333,0.0948025,63.25,-0.3729167,63.25
15,21.8333333,0.2648025,62.25,-0.2229167,62.25
16,21.8333333,0.5648025,62.25,-0.0629167,62.25
17,21.8333333,0.7648025,61.25,0.0970833,61.25
18,21.8333333,0.9748025,60.25,0.2370833,60.25
19,21.8333333,1.1848025,60.25,0.3470833,60.25
20,21.8333333,1.3948025,59.25,0.5370833,59.25
21,21.8333333,1.5948025,59.25,0.6570833,59.25
1,21.85,-3.136866,73.25,-2.5146667,73.25
2,21.85,-2.8764215,72.25,-2.3746667,72.25
3,21.85,-2.6064215,71.25,-2.1446667,71.25
4,21.85,-2.3061993,70.25,-1.9944444,70.25
5,21.85,-2.0561993,70.25,-1.8442222,70.25
6,21.85,-1.7859771,69.25,-1.7242222,69.25
7,21.85,-1.5259771,68.25,-1.4942222,68.25
8,21.85,-1.2957549,67.25,-1.344,67.25
9,21.85,-1.0855326,66.25,-1.174,66.25
10,21.85,-0.8455326,66.25,-0.984,66.25
11,21.85,-0.5355326,65.25,-0.8735556,65.25
12,21.85,-0.3453104,64.25,-0.7037778,64.25
13,21.85,-0.1153104,64.25,-0.504,64.25
14,21.85,0.0949118,63.25,-0.3735556,63.25
15,21.85,0.2649118,62.25,-0.2233333,62.25
16,21.85,0.5649118,62.25,-0.0635556,62.25
17,21.85,0.765134,61.25,0.0964444,61.25
18,21.85,0.9753562,60.25,0.2366667,60.25
19,21.85,1.1855785,60.25,0.3468889,60.25
20,21.85,1.3955785,59.25,0.5366667,59.25
21,21.85,1.5958007,59.25,0.6568889,59.25
1,21.8666667,-3.1385344,73.25,-2.5164167,73.25
2,21.8666667,-2.8776455,72.25,-2.3764167,72.25
3,21.8666667,-2.6076455,71.25,-2.1464167,71.25
4,21.8666667,-2.3072011,70.25,-1.9959722,70.25
5,21.8666667,-2.0572011,70.25,-1.8455278,70.25
6,21.8666667,-1.7867566,69.25,-1.7255278,69.25
7,21.8666667,-1.5267566,68.25,-1.4955278,68.25
8,21.8666667,-1.2963122,67.25,-1.3450833,67.25
9,21.8666667,-1.0858678,66.25,-1.1750833,66.25
10,21.8666667,-0.8458678,66.25,-0.9850833,66.25
11,21.8666667,-0.5358678,65.25,-0.8741944,65.25
