Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y
1,16.8166667,-1.2680043,64.0,0.4906334,64.0
2,16.8166667,-1.0480043,63.0,0.7406334,63.0
3,16.8166667,-0.8380043,62.0,1.0806334,62.0
4,16.8166667,-0.5580043,62.0,1.3906334,62.0
5,16.8166667,-0.3580043,61.0,1.6606334,61.0
6,16.8166667,-0.1080043,61.0,1.9706334,61.0
7,16.8166667,0.1419957,60.0,2.2306334,60.0
8,16.8166667,0.3719957,60.0,2.4906334,60.0
9,16.8166667,0.6119957,59.0,2.7906334,59.0
10,16.8166667,0.8419957,59.0,3.0406334,59.0
11,16.8166667,1.0519957,58.0,3.2606334,58.0
12,16.8166667,1.2819957,58.0,3.5606334,58.0
13,16.8166667,1.5219957,57.0,3.8406334,57.0
14,16.8166667,1.7519957,57.0,4.0206334,57.0
15,16.8166667,1.9819957,56.0,4.2206334,56.0
16,16.8166667,2.1919957,56.0,4.5506334,56.0
17,16.8166667,2.3919957,55.0,4.7906334,55.0
18,16.8166667,2.6019957,55.0,5.0006334,55.0
19,16.8166667,2.8119957,54.0,5.2306334,54.0
20,16.8166667,3.0319957,54.0,5.4706334,54.0
21,16.8166667,3.2419957,54.0,5.7006334,54.0
1,16.8333333,-1.2769562,64.0,0.4924015,64.0
2,16.8333333,-1.0560038,63.0,0.7428777,63.0
3,16.8333333,-0.8455276,62.0,1.0828777,62.0
4,16.8333333,-0.5655276,62.0,1.3933539,62.0
5,16.8333333,-0.3650514,61.0,1.6638301,61.0
6,16.8333333,-0.1145752,61.0,1.9728777,61.0
7,16.8333333,0.1354248,60.0,2.2338301,60.0
8,16.8333333,0.3654248,60.0,2.4943063,60.0
9,16.8333333,0.605901,59.0,2.7938301,59.0
10,16.8333333,0.8363771,59.0,3.0443063,59.0
11,16.8333333,1.0468533,58.0,3.2652587,58.0
12,16.8333333,1.2768533,58.0,3.5643063,58.0
13,16.8333333,1.5168533,57.0,3.8447825,57.0
14,16.8333333,1.7468533,57.0,4.0247825,57.0
15,16.8333333,1.9768533,56.0,4.2247825,56.0
16,16.8333333,2.1873295,56.0,4.5552587,56.0
17,16.8333333,2.3873295,55.0,4.7957349,55.0
18,16.8333333,2.5973295,55.0,5.0057349,55.0
19,16.8333333,2.8078057,54.0,5.2357349,54.0
