,Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y
0,1,16.8166667,-1.2680043,64.0,0.4906334,64.0
1,1,16.8333333,-1.2769562,64.0,0.4924015,64.0
2,1,16.85,-1.2859081,64.0,0.4941697,64.0
3,1,16.8666667,-1.29486,64.0,0.4959379,64.0
4,1,16.8833333,-1.3038119,64.0,0.497706,64.0
5,1,16.9,-1.3127638,64.0,0.4994742,64.0
6,1,16.9166667,-1.3217157,64.0,0.5012423,64.0
7,1,16.9333333,-1.3306676,64.0,0.5030105,64.0
8,1,16.95,-1.3396195,64.0,0.5047786,64.0
9,1,16.9666667,-1.3485714,64.0,0.5065468,64.0
10,1,16.9833333,-1.3535242,64.0,0.5083149,64.0
11,1,17.0,-1.358477,64.0,0.5100831,64.0
12,1,17.0166667,-1.3634298,64.0,0.5118512,64.0
13,1,17.0333333,-1.3683826,64.0,0.5136194,64.0
14,1,17.05,-1.3733354,64.0,0.5153875,64.0
15,1,17.0666667,-1.3782882,64.0,0.5171557,64.0
16,1,17.0833333,-1.383241,64.0,0.5189238,64.0
17,1,17.1,-1.3881938,64.0,0.520692,64.0
18,1,17.1166667,-1.3931466,64.0,0.5224602,64.0
19,1,17.1333333,-1.3980994,64.0,0.5242283,64.0
20,1,17.15,-1.4030522,64.0,0.5259965,64.0
21,1,17.1666667,-1.408005,64.0,0.5277646,64.0
22,1,17.1833333,-1.4113387,64.0,0.5308423,64.0
23,1,17.2,-1.4146725,64.0,0.53392,64.0
24,1,17.2166667,-1.4180062,64.0,0.5369976,64.0
25,1,17.2333333,-1.42134,64.0,0.5400753,64.0
26,1,17.25,-1.4246738,64.0,0.543153,64.0
27,1,17.2666667,-1.4280075,64.0,0.5462307,64.0
28,1,17.2833333,-1.4313412,64.0,0.5493083,64.0
29,1,17.3,-1.434675,64.0,0.552386,64.0
30,1,17.3166667,-1.4380087,64.0,0.5554637,64.0
31,1,17.3333333,-1.4413425,64.0,0.5585414,64.0
32,1,17.35,-1.4446763,64.0,0.5616191,64.0
33,1,17.3666667,-1.44801,64.0,0.5646967,64.0
34,1,17.3833333,-1.4513437,64.0,0.5677744,64.0
35,1,17.4,-1.4546775,64.0,0.5708521,64.0
36,1,17.4166667,-1.4580112,64.0,0.5739298,64.0
37,1,17.4333333,-1.461345,64.0,0.5770074,64.0
38,1,17.45,-1.4646788,64.0,0.5800851,64.0
39,1,17.4666667,-1.4680125,64.0,0.5831628,64.0
40,1,17.4833333,-1.4713462,64.0,0.5862405,64.0
41,1,17.5,-1.47468,64.0,0.5893181,64.0
42,1,17.5166667,-1.4785137,64.0,0.5918958,64.0
43,1,17.5333333,-1.4823475,64.0,0.5944735,64.0
44,1,17.55,-1.4861812,64.0,0.5970512,64.0
45,1,17.5666667,-1.490015,64.0,0.5996289,64.0
46,1,17.5833333,-1.4938488,64.0,0.6022065,64.0
47,1,17.6,-1.4976825,64.0,0.6047842,64.0
48,1,17.6166667,-1.5015162,64.0,0.6073619,64.0
49,1,17.6333333,-1.50535,64.0,0.6099396,64.0
50,1,17.65,-1.5091837,64.0,0.6125172,64.0
51,1,17.6666667,-1.5130175,64.0,0.6150949,64.0
52,1,17.6833333,-1.5168513,64.0,0.6176726,64.0
53,1,17.7,-1.520685,64.0,0.6202503,64.0
54,1,17.7166667,-1.5245187,64.0,0.6228279,64.0
55,1,17.7333333,-1.5283525,64.0,0.6254056,64.0
56,1,17.75,-1.5321862,64.0,0.6279833,64.0
57,1,17.7666667,-1.53602,64.0,0.630561,64.0
58,1,17.7833333,-1.5398538,64.0,0.6331387,64.0
59,1,17.8,-1.5436875,64.0,0.6357163,64.0
