,Ensemble_member,Time_since_eruption,a_A,b_A,c_A,Travel_time_x,a_B,b_B,c_B,Travel_time_y
1079,1,34.8,-0.0005291,0.9381279,4.8961474,64.0,0.0054266,0.8388352,3.9608907,64.0
2159,2,34.8,-0.0005575,0.9484791,4.998934,63.0,0.0054696,0.8533696,3.9881839,63.0
3239,3,34.8,-0.0007062,0.9641092,5.0608176,62.0,0.005792,0.8476912,4.3106945,62.0
4319,4,34.8,-0.0004315,0.9562187,5.4035005,62.0,0.0062906,0.8344884,4.7124245,62.0
5399,5,34.8,-0.0007328,0.9811264,5.3130685,61.0,0.0061702,0.8549989,4.6769905,61.0
6479,6,34.8,-0.0005453,0.9765692,5.6289821,61.0,0.0064152,0.8558792,4.8835734,61.0
7559,7,34.8,-0.0006643,0.9902912,5.6823336,60.0,0.006513,0.8635988,5.0047918,60.0
8639,8,34.8,-0.0007157,1.0002708,5.7786129,60.0,0.0063755,0.8851525,4.946701,60.0
9719,9,34.8,-0.0006062,1.0014518,5.9693208,59.0,0.0066135,0.8849643,5.159483,59.0
10799,10,34.8,-0.0005337,1.0035284,6.1693241,59.0,0.006772,0.8910022,5.2660833,59.0
11879,11,34.8,-0.0007685,1.0241089,6.1004955,58.0,0.0061892,0.9354494,4.9131183,58.0
12959,12,34.8,-0.0008676,1.0363356,6.1463093,58.0,0.0070849,0.90019,5.5576703,58.0
14039,13,34.8,-0.0007116,1.0337768,6.3939712,57.0,0.0068147,0.9251207,5.4900066,57.0
15119,14,34.8,-0.0008261,1.0460574,6.4472078,57.0,0.0068443,0.9392199,5.4428109,57.0
16199,15,34.8,-0.0010336,1.0633974,6.4406542,56.0,0.006604,0.966627,5.2582511,56.0
17279,16,34.8,-0.0009643,1.0663869,6.5796776,56.0,0.0066853,0.9712191,5.4479392,56.0
18359,17,34.8,-0.0012528,1.0891923,6.4796194,55.0,0.0068505,0.9748702,5.5852208,55.0
19439,18,34.8,-0.0014024,1.1032802,6.4930972,55.0,0.006659,0.9963161,5.498335,55.0
20519,19,34.8,-0.001386,1.1099263,6.5905408,54.0,0.0067613,1.0028332,5.6025119,54.0
21599,20,34.8,-0.0014459,1.1197352,6.6518009,54.0,0.0064236,1.0288936,5.499617,54.0
22679,21,34.8,-0.0014453,1.1259253,6.752646,54.0,0.0066732,1.0295792,5.6499137,54.0
