,Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y
0,1,22.8166667,-1.5987902,80.6666667,-1.6904429,80.6666667
1,1,22.8333333,-1.5987076,80.6666667,-1.6903301,80.6666667
2,1,22.85,-1.5986251,80.6666667,-1.6902173,80.6666667
3,1,22.8666667,-1.5985425,80.6666667,-1.6901045,80.6666667
4,1,22.8833333,-1.59846,80.6666667,-1.6899917,80.6666667
5,1,22.9,-1.5983774,80.6666667,-1.6898789,80.6666667
6,1,22.9166667,-1.5982948,80.6666667,-1.6897662,80.6666667
7,1,22.9333333,-1.5982123,80.6666667,-1.6896534,80.6666667
8,1,22.95,-1.5981297,80.6666667,-1.6895406,80.6666667
9,1,22.9666667,-1.5980472,80.6666667,-1.6894278,80.6666667
10,1,22.9833333,-1.5979646,80.6666667,-1.689315,80.6666667
11,1,23.0,-1.597882,80.6666667,-1.6892023,80.6666667
12,1,23.0166667,-1.5977995,80.6666667,-1.6890895,80.6666667
13,1,23.0333333,-1.5977169,80.6666667,-1.6889767,80.6666667
14,1,23.05,-1.5976344,80.6666667,-1.6888639,80.6666667
15,1,23.0666667,-1.5975518,80.6666667,-1.6887511,80.6666667
16,1,23.0833333,-1.5974692,80.6666667,-1.6886383,80.6666667
17,1,23.1,-1.5973867,80.6666667,-1.6885256,80.6666667
18,1,23.1166667,-1.5973041,80.6666667,-1.6884128,80.6666667
19,1,23.1333333,-1.5972216,80.6666667,-1.6883,80.6666667
20,1,23.15,-1.597139,80.6666667,-1.6881872,80.6666667
21,1,23.1666667,-1.5970564,80.6666667,-1.6880744,80.6666667
22,1,23.1833333,-1.5969739,80.6666667,-1.6879617,80.6666667
23,1,23.2,-1.5968913,80.6666667,-1.6878489,80.6666667
24,1,23.2166667,-1.5968088,80.6666667,-1.6877361,80.6666667
25,1,23.2333333,-1.5967262,80.6666667,-1.6876233,80.6666667
26,1,23.25,-1.5966437,80.6666667,-1.6875105,80.6666667
27,1,23.2666667,-1.5965611,80.6666667,-1.6873977,80.6666667
28,1,23.2833333,-1.5964785,80.6666667,-1.687285,80.6666667
29,1,23.3,-1.596396,80.6666667,-1.6871722,80.6666667
30,1,23.3166667,-1.5963134,80.6666667,-1.6870594,80.6666667
31,1,23.3333333,-1.5962309,80.6666667,-1.6869466,80.6666667
32,1,23.35,-1.5961483,80.6666667,-1.6868338,80.6666667
33,1,23.3666667,-1.5960657,80.6666667,-1.6867211,80.6666667
34,1,23.3833333,-1.5959832,80.6666667,-1.6866083,80.6666667
35,1,23.4,-1.5959006,80.6666667,-1.6864955,80.6666667
36,1,23.4166667,-1.5958181,80.6666667,-1.6863827,80.6666667
37,1,23.4333333,-1.5957355,80.6666667,-1.6862699,80.6666667
38,1,23.45,-1.5956529,80.6666667,-1.6861571,80.6666667
39,1,23.4666667,-1.5955704,80.6666667,-1.6860444,80.6666667
40,1,23.4833333,-1.5954878,80.6666667,-1.6859316,80.6666667
41,1,23.5,-1.5954053,80.6666667,-1.6858188,80.6666667
42,1,23.5166667,-1.5942614,80.6666667,-1.685706,80.6666667
43,1,23.5333333,-1.5931175,80.6666667,-1.6855932,80.6666667
44,1,23.55,-1.5919736,80.6666667,-1.6854805,80.6666667
45,1,23.5666667,-1.5908297,80.6666667,-1.6853677,80.6666667
46,1,23.5833333,-1.5896858,80.6666667,-1.6852549,80.6666667
47,1,23.6,-1.5885419,80.6666667,-1.6851421,80.6666667
48,1,23.6166667,-1.5873981,80.6666667,-1.6850293,80.6666667
49,1,23.6333333,-1.5862542,80.6666667,-1.6849165,80.6666667
50,1,23.65,-1.5851103,80.6666667,-1.6848038,80.6666667
51,1,23.6666667,-1.5839664,80.6666667,-1.684691,80.6666667
52,1,23.6833333,-1.5828225,80.6666667,-1.6845782,80.6666667
53,1,23.7,-1.5816786,80.6666667,-1.6844654,80.6666667
54,1,23.7166667,-1.5805347,80.6666667,-1.6843526,80.6666667
55,1,23.7333333,-1.5793909,80.6666667,-1.6842398,80.6666667
56,1,23.75,-1.578247,80.6666667,-1.6841271,80.6666667
57,1,23.7666667,-1.5771031,80.6666667,-1.6840143,80.6666667
58,1,23.7833333,-1.5759592,80.6666667,-1.6839015,80.6666667
59,1,23.8,-1.5748153,80.6666667,-1.6837887,80.6666667
60,1,23.8166667,-1.5736714,80.6666667,-1.6836759,80.6666667
61,1,23.8333333,-1.5725275,80.6666667,-1.6835632,80.6666667
62,1,23.85,-1.5713836,80.6666667,-1.6834504,80.6666667
63,1,23.8666667,-1.5702398,80.6666667,-1.6833376,80.6666667
64,1,23.8833333,-1.5690959,80.6666667,-1.6832248,80.6666667
65,1,23.9,-1.567952,80.6666667,-1.683112,80.6666667
66,1,23.9166667,-1.5668081,80.6666667,-1.6829992,80.6666667
67,1,23.9333333,-1.5656642,80.6666667,-1.6828865,80.6666667
68,1,23.95,-1.5645203,80.6666667,-1.6827737,80.6666667
69,1,23.9666667,-1.5633764,80.6666667,-1.6826609,80.6666667
70,1,23.9833333,-1.5622326,80.6666667,-1.6825481,80.6666667
71,1,24.0,-1.5610887,80.6666667,-1.6824353,80.6666667
72,1,24.0166667,-1.5599448,80.6666667,-1.6823226,80.6666667
73,1,24.0333333,-1.5588009,80.6666667,-1.6822098,80.6666667
74,1,24.05,-1.557657,80.6666667,-1.682097,80.6666667
75,1,24.0666667,-1.5565131,80.6666667,-1.6819842,80.6666667
76,1,24.0833333,-1.5553692,80.6666667,-1.6818714,80.6666667
77,1,24.1,-1.5542253,80.6666667,-1.6817586,80.6666667
78,1,24.1166667,-1.5530815,80.6666667,-1.6816459,80.6666667
79,1,24.1333333,-1.5519376,80.6666667,-1.6815331,80.6666667
80,1,24.15,-1.5507937,80.6666667,-1.6814203,80.6666667
81,1,24.1666667,-1.5496498,80.6666667,-1.6813075,80.6666667
82,1,24.1833333,-1.5485059,80.6666667,-1.6811947,80.6666667
83,1,24.2,-1.547362,80.6666667,-1.681082,80.6666667
84,1,24.2166667,-1.5462181,80.6666667,-1.6809692,80.6666667
85,1,24.2333333,-1.5450743,80.6666667,-1.6808564,80.6666667
86,1,24.25,-1.5439304,80.6666667,-1.6807436,80.6666667
87,1,24.2666667,-1.5427865,80.6666667,-1.6806308,80.6666667
88,1,24.2833333,-1.5416426,80.6666667,-1.680518,80.6666667
89,1,24.3,-1.5404987,80.6666667,-1.6804053,80.6666667
90,1,24.3166667,-1.5393548,80.6666667,-1.6802925,80.6666667
91,1,24.3333333,-1.5382109,80.6666667,-1.6801797,80.6666667
92,1,24.35,-1.537067,80.6666667,-1.6800669,80.6666667
93,1,24.3666667,-1.5359232,80.6666667,-1.6799541,80.6666667
94,1,24.3833333,-1.5347793,80.6666667,-1.6798414,80.6666667
95,1,24.4,-1.5336354,80.6666667,-1.6797286,80.6666667
96,1,24.4166667,-1.5324915,80.6666667,-1.6796158,80.6666667
97,1,24.4333333,-1.5313476,80.6666667,-1.679503,80.6666667
98,1,24.45,-1.5302037,80.6666667,-1.6793902,80.6666667
99,1,24.4666667,-1.5290598,80.6666667,-1.6792774,80.6666667
100,1,24.4833333,-1.527916,80.6666667,-1.6791647,80.6666667
101,1,24.5,-1.5267721,80.6666667,-1.6790519,80.6666667
102,1,24.5166667,-1.5256282,80.6666667,-1.6789391,80.6666667
103,1,24.5333333,-1.5244843,80.6666667,-1.6788263,80.6666667
104,1,24.55,-1.5233404,80.6666667,-1.6787135,80.6666667
105,1,24.5666667,-1.5221965,80.6666667,-1.6786008,80.6666667
106,1,24.5833333,-1.5210526,80.6666667,-1.678488,80.6666667
107,1,24.6,-1.5199087,80.6666667,-1.6783752,80.6666667
108,1,24.6166667,-1.5187649,80.6666667,-1.6782624,80.6666667
