,Ensemble_member,Time_since_eruption,a_A,b_A,c_A,Travel_time_x,a_B,b_B,c_B,Travel_time_y
1591,1,49.3333333,-0.0026864,0.9313844,-0.3431106,80.6666667,-0.002064,0.6426166,3.2233132,80.6666667
3183,2,49.3333333,-0.0024291,0.9280215,-0.1249386,79.6666667,-0.0021631,0.6566869,3.1697152,79.6666667
4775,3,49.3333333,-0.0023284,0.9336563,0.0430112,78.6666667,-0.0020228,0.6487986,3.5230791,78.6666667
6367,4,49.3333333,-0.00104,0.8445198,1.8797284,77.6666667,-0.0021522,0.6631831,3.4766949,77.6666667
7959,5,49.3333333,-0.0019161,0.9308154,0.5129826,76.6666667,-0.0022215,0.671136,3.5647131,76.6666667
9551,6,49.3333333,-0.0028114,1.0047538,-0.436948,75.6666667,-0.0024148,0.6937224,3.294887,75.6666667
11143,7,49.3333333,-0.0028745,1.0150554,-0.3073402,74.6666667,-0.0025483,0.7095819,3.1771056,74.6666667
12735,8,49.3333333,-0.0030121,1.0403471,-0.6392176,73.6666667,-0.0025306,0.7089876,3.4495988,73.6666667
14327,9,49.3333333,-0.0006009,0.8958303,1.8460995,73.6666667,-0.002743,0.7326723,3.161255,73.6666667
15919,10,49.3333333,0.0001246,0.8584386,2.5647358,72.6666667,-0.002655,0.7301919,3.3689503,72.6666667
17511,11,49.3333333,-0.0027214,1.0806359,-0.9211514,71.6666667,-0.0027141,0.7398663,3.3531687,71.6666667
19103,12,49.3333333,-0.0015236,1.0014009,0.608355,71.6666667,-0.0024726,0.7235919,3.8431559,71.6666667
20695,13,49.3333333,-0.0010294,0.9788513,1.102462,70.6666667,-0.0023308,0.7170729,4.1099573,70.6666667
22287,14,49.3333333,-0.0001606,0.92361,2.2818681,69.6666667,-0.002531,0.7380851,3.8610025,69.6666667
23879,15,49.3333333,-0.00037,0.9414016,2.259685,68.6666667,-0.0025565,0.7441004,3.9140505,68.6666667
25471,16,49.3333333,-0.0011316,1.0075342,1.3386006,68.6666667,-0.0025048,0.7418391,4.1363662,68.6666667
27063,17,49.3333333,-0.000608,0.9753208,2.0906,67.6666667,-0.0023859,0.7366238,4.4120041,67.6666667
28655,18,49.3333333,0.0002978,0.927909,2.9242591,66.6666667,-0.0024212,0.7411728,4.5116159,66.6666667
30247,19,49.3333333,0.0006174,0.9119331,3.3572368,66.6666667,-0.0028441,0.7827889,3.7874549,66.6666667
31839,20,49.3333333,-0.0018502,1.0899025,0.916211,65.6666667,-0.0028593,0.7854144,3.9445569,65.6666667
33431,21,49.3333333,-0.0043732,1.2011839,0.0135709,65.6666667,-0.0033281,0.8242009,3.4226179,65.6666667
