,Ensemble_member,Time_since_eruption,a_A,b_A,c_A,Travel_time_x,a_B,b_B,c_B,Travel_time_y
976,1,37.55,-0.0003698,1.2232924,-5.6131228,60.75,0.0012607,0.9659164,-1.3935364,60.75
1953,2,37.55,-0.0001318,1.2127802,-5.0131986,60.75,0.0006303,1.0147072,-1.8351325,60.75
2930,3,37.55,3.93e-05,1.208442,-4.5737222,59.75,0.0004072,1.0357137,-1.8092144,59.75
3907,4,37.55,0.0002067,1.2066906,-4.208694,58.75,0.0004802,1.0386879,-1.5528388,58.75
4884,5,37.55,0.0002949,1.209319,-3.9147486,58.75,8.09e-05,1.0721191,-1.7712572,58.75
5861,6,37.55,0.0005071,1.203571,-3.4935261,57.75,4.98e-05,1.0795743,-1.5536126,57.75
6838,7,37.55,0.0004658,1.2123068,-3.2719213,57.75,-0.0003934,1.1147769,-1.8023268,57.75
7815,8,37.55,0.0009426,1.1912552,-2.6481158,56.75,-0.0002419,1.112467,-1.496697,56.75
8792,9,37.55,0.0008203,1.207968,-2.6166042,56.75,-0.0005559,1.1380164,-1.5804724,56.75
9769,10,37.55,0.0011162,1.2004898,-2.2492095,56.75,-0.0005703,1.1469247,-1.4711453,56.75
10746,11,37.55,0.0010351,1.2155593,-2.2154943,55.75,-0.000637,1.1569001,-1.3382426,55.75
11723,12,37.55,0.0016546,1.1859838,-1.5071336,55.75,-0.0009655,1.1850056,-1.5151564,55.75
12700,13,37.55,0.0013248,1.2170755,-1.7335524,54.75,-0.0005624,1.1670122,-1.0015589,54.75
13677,14,37.55,0.0014892,1.2159188,-1.4502228,54.75,-0.0011309,1.2105421,-1.4370682,54.75
14654,15,37.55,0.0019561,1.1984277,-0.9811261,54.75,-0.0005495,1.1776445,-0.6453396,54.75
15631,16,37.55,0.0018416,1.2166452,-1.0225151,53.75,-0.0008996,1.2076494,-0.884527,53.75
16608,17,37.55,0.0014083,1.2495307,-1.2237886,53.75,-0.0010524,1.2264823,-0.9896979,53.75
17585,18,37.55,0.0019415,1.2317299,-0.7996855,52.75,-0.001164,1.2364916,-0.8227768,52.75
18562,19,37.55,0.0016833,1.2550138,-0.883958,52.75,-0.0011177,1.242376,-0.75751,52.75
19539,20,37.55,0.0018137,1.2557371,-0.6596156,52.75,-0.0017836,1.2829928,-1.0102863,52.75
20516,21,37.55,0.0020844,1.2560817,-0.5467624,51.75,-0.0011072,1.251364,-0.4242754,51.75
