,Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y
0,1,21.2833333,-9.4075,60.75,-2.8496732,60.75
1,1,21.3,-9.4083646,60.75,-2.8480719,60.75
2,1,21.3166667,-9.4092292,60.75,-2.8464706,60.75
3,1,21.3333333,-9.4100938,60.75,-2.8448693,60.75
4,1,21.35,-9.4109583,60.75,-2.843268,60.75
5,1,21.3666667,-9.4118229,60.75,-2.8416667,60.75
6,1,21.3833333,-9.4126875,60.75,-2.8400654,60.75
7,1,21.4,-9.4135521,60.75,-2.8384641,60.75
8,1,21.4166667,-9.4144167,60.75,-2.8368627,60.75
9,1,21.4333333,-9.4152813,60.75,-2.8352614,60.75
10,1,21.45,-9.4161458,60.75,-2.8336601,60.75
11,1,21.4666667,-9.4170104,60.75,-2.8320588,60.75
12,1,21.4833333,-9.417875,60.75,-2.8304575,60.75
13,1,21.5,-9.4187396,60.75,-2.8288562,60.75
14,1,21.5166667,-9.4196042,60.75,-2.8272549,60.75
15,1,21.5333333,-9.4204688,60.75,-2.8256536,60.75
16,1,21.55,-9.4213333,60.75,-2.8240523,60.75
17,1,21.5666667,-9.4221979,60.75,-2.822451,60.75
18,1,21.5833333,-9.4230625,60.75,-2.8208497,60.75
19,1,21.6,-9.4239271,60.75,-2.8192484,60.75
20,1,21.6166667,-9.4247917,60.75,-2.8176471,60.75
21,1,21.6333333,-9.4256562,60.75,-2.8160458,60.75
22,1,21.65,-9.4265208,60.75,-2.8144444,60.75
23,1,21.6666667,-9.4273854,60.75,-2.8128431,60.75
24,1,21.6833333,-9.42825,60.75,-2.8112418,60.75
25,1,21.7,-9.4291146,60.75,-2.8096405,60.75
26,1,21.7166667,-9.4299792,60.75,-2.8080392,60.75
27,1,21.7333333,-9.4308438,60.75,-2.8064379,60.75
28,1,21.75,-9.4317083,60.75,-2.8048366,60.75
29,1,21.7666667,-9.4325729,60.75,-2.8032353,60.75
30,1,21.7833333,-9.4334375,60.75,-2.801634,60.75
31,1,21.8,-9.434958,60.75,-2.8003015,60.75
32,1,21.8166667,-9.4364785,60.75,-2.798969,60.75
33,1,21.8333333,-9.437999,60.75,-2.7976365,60.75
34,1,21.85,-9.4395195,60.75,-2.796304,60.75
35,1,21.8666667,-9.44104,60.75,-2.7949715,60.75
36,1,21.8833333,-9.4425605,60.75,-2.793639,60.75
37,1,21.9,-9.444081,60.75,-2.7923066,60.75
