,Ensemble_member,Time_since_eruption,a_A,b_A,c_A,Travel_time_x,a_B,b_B,c_B,Travel_time_y
1859,1,47.1333333,-0.0016277,0.8025082,7.0856463,51.2,-0.0020648,0.9551418,3.7487666,51.2
3719,2,47.1333333,-0.0019381,0.8298271,6.8334177,51.2,-0.0030484,1.0243106,2.9597451,51.2
5579,3,47.1333333,-0.0025058,0.8701404,6.4768871,50.2,-0.0023331,0.9735755,4.1017088,50.2
7439,4,47.1333333,-0.0021054,0.8441984,7.0241872,50.2,-0.0027157,0.9967446,4.0773874,50.2
9299,5,47.1333333,-0.0025808,0.8804362,6.7379851,49.2,-0.0028676,1.0155442,3.8822273,49.2
11159,6,47.1333333,-0.0029532,0.9077929,6.5563266,49.2,-0.0024346,0.9828697,4.7326586,49.2
13019,7,47.1333333,-0.0027737,0.8964529,6.9799158,48.2,-0.0027261,1.0082296,4.4754053,48.2
14879,8,47.1333333,-0.0029695,0.9113634,6.9467748,48.2,-0.0035174,1.0637882,3.8504981,48.2
16739,10,47.1333333,-0.0031554,0.9306375,6.9454989,47.2,-0.0028523,1.0182789,5.0856325,47.2
18599,11,47.1333333,-0.0029061,0.9199338,7.2812005,47.2,-0.0033497,1.0565863,4.6244235,47.2
20459,12,47.1333333,-0.0028887,0.9197141,7.4625048,46.2,-0.0029826,1.0294076,5.3610031,46.2
22319,13,47.1333333,-0.0027599,0.91675,7.6727826,46.2,-0.0033236,1.0543663,5.1837066,46.2
24179,14,47.1333333,-0.0028465,0.9268517,7.6224505,46.2,-0.0034067,1.0594727,5.3411621,46.2
26039,15,47.1333333,-0.0031969,0.9528619,7.4348525,45.2,-0.0033286,1.0571139,5.536455,45.2
27899,16,47.1333333,-0.0024552,0.9094517,8.173796,45.2,-0.0034526,1.067244,5.5918065,45.2
29759,17,47.1333333,-0.0029642,0.9485522,7.7144113,45.2,-0.0049142,1.1764603,3.8469802,45.2
31619,18,47.1333333,-0.003529,0.9883392,7.2959966,44.2,-0.0049411,1.1758359,4.068371,44.2
33479,19,47.1333333,-0.0031859,0.971443,7.7292851,44.2,-0.0040808,1.1159445,5.3113644,44.2
35339,20,47.1333333,-0.0031728,0.9734628,7.8913453,44.2,-0.0039767,1.1121022,5.5452091,44.2
37199,21,47.1333333,-0.0037695,1.0161804,7.3686977,43.2,-0.0039697,1.1090911,5.8759539,43.2
