,Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y
0,1,16.15,-2.2347,51.2,-5.7339457,51.2
1,1,16.1666667,-2.2310896,51.2,-5.7347808,51.2
2,1,16.1833333,-2.2274792,51.2,-5.7356158,51.2
3,1,16.2,-2.2238688,51.2,-5.7364509,51.2
4,1,16.2166667,-2.2202584,51.2,-5.7372859,51.2
5,1,16.2333333,-2.2166481,51.2,-5.738121,51.2
6,1,16.25,-2.2130377,51.2,-5.7389561,51.2
7,1,16.2666667,-2.2094273,51.2,-5.7397911,51.2
8,1,16.2833333,-2.2058169,51.2,-5.7406262,51.2
9,1,16.3,-2.2022065,51.2,-5.7414612,51.2
10,1,16.3166667,-2.1985961,51.2,-5.7422963,51.2
11,1,16.3333333,-2.1949857,51.2,-5.7431313,51.2
12,1,16.35,-2.1913753,51.2,-5.7439664,51.2
13,1,16.3666667,-2.1877649,51.2,-5.7448014,51.2
14,1,16.3833333,-2.1841545,51.2,-5.7456365,51.2
15,1,16.4,-2.1805442,51.2,-5.7464715,51.2
16,1,16.4166667,-2.1769338,51.2,-5.7473066,51.2
17,1,16.4333333,-2.1733234,51.2,-5.7481416,51.2
18,1,16.45,-2.169713,51.2,-5.7489767,51.2
19,1,16.4666667,-2.1661026,51.2,-5.7498117,51.2
20,1,16.4833333,-2.1624922,51.2,-5.7506468,51.2
21,1,16.5,-2.1588818,51.2,-5.7514818,51.2
22,1,16.5166667,-2.1552714,51.2,-5.7556436,51.2
23,1,16.5333333,-2.151661,51.2,-5.7598054,51.2
24,1,16.55,-2.1480506,51.2,-5.7639672,51.2
25,1,16.5666667,-2.1444403,51.2,-5.768129,51.2
26,1,16.5833333,-2.1408299,51.2,-5.7722907,51.2
27,1,16.6,-2.1372195,51.2,-5.7764525,51.2
28,1,16.6166667,-2.1336091,51.2,-5.7806143,51.2
29,1,16.6333333,-2.1299987,51.2,-5.7847761,51.2
30,1,16.65,-2.1263883,51.2,-5.7889379,51.2
31,1,16.6666667,-2.1227779,51.2,-5.7930997,51.2
32,1,16.6833333,-2.1191675,51.2,-5.7972615,51.2
33,1,16.7,-2.1155571,51.2,-5.8014232,51.2
34,1,16.7166667,-2.1119468,51.2,-5.805585,51.2
35,1,16.7333333,-2.1083364,51.2,-5.8097468,51.2
36,1,16.75,-2.104726,51.2,-5.8139086,51.2
37,1,16.7666667,-2.1011156,51.2,-5.8180704,51.2
38,1,16.7833333,-2.0975052,51.2,-5.8222322,51.2
39,1,16.8,-2.0938948,51.2,-5.826394,51.2
40,1,16.8166667,-2.0902844,51.2,-5.8305558,51.2
41,1,16.8333333,-2.086674,51.2,-5.8347175,51.2
42,1,16.85,-2.0830636,51.2,-5.8388793,51.2
43,1,16.8666667,-2.0794532,51.2,-5.8430411,51.2
44,1,16.8833333,-2.0758429,51.2,-5.8472029,51.2
45,1,16.9,-2.0722325,51.2,-5.8513647,51.2
46,1,16.9166667,-2.0686221,51.2,-5.8555265,51.2
47,1,16.9333333,-2.0650117,51.2,-5.8596883,51.2
48,1,16.95,-2.0614013,51.2,-5.86385,51.2
49,1,16.9666667,-2.0577909,51.2,-5.8680118,51.2
50,1,16.9833333,-2.0541805,51.2,-5.8721736,51.2
51,1,17.0,-2.0505701,51.2,-5.8763354,51.2
52,1,17.0166667,-2.0469597,51.2,-5.8804972,51.2
53,1,17.0333333,-2.0433494,51.2,-5.884659,51.2
54,1,17.05,-2.039739,51.2,-5.8888208,51.2
55,1,17.0666667,-2.0361286,51.2,-5.8929825,51.2
56,1,17.0833333,-2.0325182,51.2,-5.8971443,51.2
57,1,17.1,-2.0289078,51.2,-5.9013061,51.2
58,1,17.1166667,-2.0252974,51.2,-5.9054679,51.2
59,1,17.1333333,-2.021687,51.2,-5.9096297,51.2
60,1,17.15,-2.0180766,51.2,-5.9137915,51.2
61,1,17.1666667,-2.0144662,51.2,-5.9179533,51.2
62,1,17.1833333,-2.0108558,51.2,-5.922115,51.2
63,1,17.2,-2.0072455,51.2,-5.9262768,51.2
64,1,17.2166667,-2.0036351,51.2,-5.9304386,51.2
65,1,17.2333333,-2.0000247,51.2,-5.9346004,51.2
66,1,17.25,-1.9964143,51.2,-5.9387622,51.2
67,1,17.2666667,-1.9928039,51.2,-5.942924,51.2
68,1,17.2833333,-1.9891935,51.2,-5.9470858,51.2
69,1,17.3,-1.9855831,51.2,-5.9512475,51.2
70,1,17.3166667,-1.9819727,51.2,-5.9554093,51.2
71,1,17.3333333,-1.9783623,51.2,-5.9595711,51.2
72,1,17.35,-1.9747519,51.2,-5.9637329,51.2
73,1,17.3666667,-1.9711416,51.2,-5.9678947,51.2
74,1,17.3833333,-1.9675312,51.2,-5.9720565,51.2
75,1,17.4,-1.9639208,51.2,-5.9762183,51.2
76,1,17.4166667,-1.9603104,51.2,-5.98038,51.2
77,1,17.4333333,-1.9567,51.2,-5.9845418,51.2
78,1,17.45,-1.9551359,51.2,-5.989303,51.2
79,1,17.4666667,-1.9535718,51.2,-5.9940642,51.2
80,1,17.4833333,-1.9520077,51.2,-5.9988254,51.2
